Id	Desc	SeverLevel	ExpParam	RedeemExp
121	121	138	5	10000000
122	122	142	5	10000000
123	123	146	5	10000000
124	124	150	5	10000000
125	125	154	5	10000000
126	126	158	5	10000000
127	127	162	5	10000000
128	128	166	5	10000000
129	129	170	5	10000000
130	130	174	5	10000000
131	131	179	5	10000000
132	132	179	5	10000000
133	133	179	5	10000000
134	134	179	5	10000000
135	135	179	5	10000000
136	136	179	5	10000000
137	137	179	5	10000000
138	138	179	5	10000000
139	139	179	5	10000000
140	140	179	5	10000000
141	141	179	5	10000000
142	142	179	5	10000000
143	143	179	5	10000000
144	144	179	5	10000000
145	145	179	5	10000000
146	146	181	5	10000000
147	147	182	5	10000000
148	148	184	5	10000000
149	149	186	5	10000000
150	150	187	5	10000000
151	151	189	5	10000000
152	152	190	5	10000000
153	153	191	5	10000000
154	154	193	5	10000000
155	155	194	5	10000000
156	156	195	5	10000000
157	157	197	5	10000000
158	158	198	5	10000000
159	159	199	5	10000000
160	160	199	5	10000000
161	161	199	5	10000000
162	162	199	5	10000000
163	163	199	5	10000000
164	164	199	5	10000000
165	165	199	5	10000000
166	166	199	5	10000000
167	167	199	5	10000000
168	168	199	5	10000000
169	169	199	5	10000000
170	170	199	5	10000000
171	171	199	5	10000000
172	172	199	5	10000000
173	173	199	5	10000000
174	174	200	5	10000000
175	175	200	5	10000000
176	176	201	5	10000000
177	177	201	5	10000000
178	178	202	5	10000000
179	179	202	5	10000000
180	180	202	5	10000000
181	181	203	5	10000000
182	182	203	5	10000000
183	183	204	5	10000000
184	184	204	5	10000000
185	185	205	5	10000000
186	186	205	5	10000000
187	187	205	5	10000000
188	188	206	5	10000000
189	189	206	5	10000000
190	190	207	5	10000000
191	191	207	5	10000000
192	192	209	5	10000000
193	193	209	5	10000000
194	194	209	5	10000000
195	195	210	5	10000000
196	196	210	5	10000000
197	197	211	5	10000000
198	198	211	5	10000000
199	199	212	5	10000000
200	200	212	5	10000000
201	201	212	5	10000000
202	202	213	5	10000000
203	203	213	5	10000000
204	204	214	5	10000000
205	205	214	5	10000000
206	206	216	5	10000000
207	207	216	5	10000000
208	208	216	5	10000000
209	209	217	5	10000000
210	210	217	5	10000000
211	211	218	5	10000000
212	212	218	5	10000000
213	213	219	5	10000000
214	214	219	5	10000000
215	215	219	5	10000000
216	216	219	5	10000000
217	217	219	5	10000000
218	218	219	5	10000000
219	219	219	5	10000000
220	220	219	5	10000000
221	221	219	5	10000000
222	222	219	5	10000000
223	223	219	5	10000000
224	224	219	5	10000000
225	225	219	5	10000000
226	226	219	5	10000000
227	227	219	5	10000000
228	228	219	5	10000000
229	229	219	5	10000000
230	230	220	5	10000000
231	231	220	5	10000000
232	232	221	5	10000000
233	233	221	5	10000000
234	234	222	5	10000000
235	235	222	5	10000000
236	236	222	5	10000000
237	237	223	5	10000000
238	238	223	5	10000000
239	239	224	5	10000000
240	240	224	5	10000000
241	241	225	5	10000000
242	242	225	5	10000000
243	243	225	5	10000000
244	244	226	5	10000000
245	245	226	5	10000000
246	246	227	5	10000000
247	247	227	5	10000000
248	248	229	5	10000000
249	249	229	5	10000000
250	250	229	5	10000000
251	251	230	5	10000000
252	252	230	5	10000000
253	253	231	5	10000000
254	254	231	5	10000000
255	255	232	5	10000000
256	256	232	5	10000000
257	257	232	5	10000000
258	258	233	5	10000000
259	259	233	5	10000000
260	260	234	5	10000000
261	261	234	5	10000000
262	262	236	5	10000000
263	263	236	5	10000000
264	264	236	5	10000000
265	265	237	5	10000000
266	266	237	5	10000000
267	267	238	5	10000000
268	268	238	5	10000000
269	269	239	5	10000000
270	270	239	5	10000000
271	271	239	5	10000000
272	272	239	5	10000000
273	273	239	5	10000000
274	274	239	5	10000000
275	275	239	5	10000000
276	276	239	5	10000000
277	277	239	5	10000000
278	278	239	5	10000000
279	279	239	5	10000000
280	280	239	5	10000000
281	281	239	5	10000000
282	282	239	5	10000000
283	283	239	5	10000000
284	284	239	5	10000000
285	285	239	5	10000000
286	286	239	5	10000000
287	287	239	5	10000000
288	288	239	5	10000000
289	289	239	5	10000000
290	290	239	5	10000000
291	291	239	5	10000000
292	292	239	5	10000000
293	293	239	5	10000000
294	294	239	5	10000000
295	295	239	5	10000000
296	296	239	5	10000000
297	297	239	5	10000000
298	298	239	5	10000000
299	299	239	5	10000000
300	300	239	5	10000000
301	301	239	5	10000000
302	302	239	5	10000000
303	303	239	5	10000000
304	304	239	5	10000000
305	305	239	5	10000000
306	306	239	5	10000000
307	307	239	5	10000000
308	308	239	5	10000000
309	309	239	5	10000000
310	310	239	5	10000000
311	311	239	5	10000000
312	312	239	5	10000000
313	313	239	5	10000000
314	314	239	5	10000000
315	315	239	5	10000000
316	316	239	5	10000000
317	317	239	5	10000000
318	318	239	5	10000000
319	319	239	5	10000000
320	320	239	5	10000000
321	321	239	5	10000000
322	322	239	5	10000000
323	323	239	5	10000000
324	324	239	5	10000000
325	325	239	5	10000000
326	326	239	5	10000000
327	327	239	5	10000000
328	328	239	5	10000000
329	329	239	5	10000000
330	330	239	5	10000000
331	331	239	5	10000000
332	332	239	5	10000000
333	333	239	5	10000000
334	334	239	5	10000000
335	335	239	5	10000000
336	336	239	5	10000000
337	337	239	5	10000000
338	338	239	5	10000000
339	339	239	5	10000000
340	340	239	5	10000000
341	341	239	5	10000000
342	342	239	5	10000000
343	343	239	5	10000000
344	344	239	5	10000000
345	345	239	5	10000000
346	346	239	5	10000000
347	347	239	5	10000000
348	348	239	5	10000000
349	349	239	5	10000000
350	350	239	5	10000000
351	351	239	5	10000000
352	352	239	5	10000000
353	353	239	5	10000000
354	354	239	5	10000000
355	355	239	5	10000000
356	356	239	5	10000000
357	357	239	5	10000000
358	358	239	5	10000000
359	359	239	5	10000000
360	360	239	5	10000000
361	361	239	5	10000000
362	362	239	5	10000000
363	363	239	5	10000000
364	364	239	5	10000000
365	365	239	5	10000000
366	366	239	5	10000000
367	367	239	5	10000000
368	368	239	5	10000000
369	369	239	5	10000000
370	370	239	5	10000000
371	371	239	5	10000000
372	372	239	5	10000000
373	373	239	5	10000000
374	374	239	5	10000000
375	375	239	5	10000000
376	376	239	5	10000000
377	377	239	5	10000000
378	378	239	5	10000000
379	379	239	5	10000000
380	380	239	5	10000000
381	381	239	5	10000000
382	382	239	5	10000000
383	383	239	5	10000000
384	384	239	5	10000000
385	385	239	5	10000000
386	386	239	5	10000000
387	387	239	5	10000000
388	388	239	5	10000000
389	389	239	5	10000000
390	390	239	5	10000000
391	391	239	5	10000000
392	392	239	5	10000000
393	393	239	5	10000000
394	394	239	5	10000000
395	395	239	5	10000000
396	396	239	5	10000000
397	397	239	5	10000000
398	398	239	5	10000000
399	399	239	5	10000000
400	400	239	5	10000000
