Id	Desc	Drop1	Drop2	Drop3	Drop4	Drop5	Drop6	Drop7	Drop8	Drop9	Drop10	Drop11	Drop12	Drop13	Drop14	Drop15	Drop16	Drop17	Drop18	Drop19	Drop20	Drop21	Drop22	Drop23	Drop24	Drop25	Drop26	Drop27	Drop28	Drop29	Drop30	Drop31	Drop32	Drop33	Drop34	Drop35	Drop36	Drop37	Drop38	Drop39	Drop40	Drop41	Drop42	Drop43	Drop44	Drop45	Drop46	Drop47	Drop48	Drop49	Drop50	Drop51	Drop52
43	单人跑环普通单环奖励--废弃	20800	20801	20802	20803	20804	20805	20806	20807	20808	20809	20810	20811	20812	20813	20814	20815	20816	20817	20818	20819	20820	20821	20822	20823	20824	20825	20826	20827	20828	20829	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
44	单人跑环最终额外奖励--废弃	10042	10042	10042	10042	10042	10042	10042	10042	10042	10042	10042	10042	10042	10042	10042	10042	10042	10042	10042	10042	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
45	凤鸣谷食人花女王--废弃	20016	20017	20018	20019	20020	20021	20022	20023	20024	20025	20026	20027	20028	20029	20030	20031	20032	20033	20034	20035	20036	20037	20038	20039	20040	20041	20042	20043	20044	20045	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
46	天劫谷艾黎--废弃	20016	20017	20018	20019	20020	20021	20022	20023	20024	20025	20026	20027	20028	20029	20030	20031	20032	20033	20034	20035	20036	20037	20038	20039	20040	20041	20042	20043	20044	20045	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
47	天劫谷耋翁--废弃	20016	20017	20018	20019	20020	20021	20022	20023	20024	20025	20026	20027	20028	20029	20030	20031	20032	20033	20034	20035	20036	20037	20038	20039	20040	20041	20042	20043	20044	20045	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
48	限时争抢	20600	20601	20602	20603	20604	20605	20606	20607	20608	20609	20610	20611	20612	20613	20614	20615	20616	20617	20618	20619	20620	20621	20622	20623	20624	20625	20626	20627	20628	20629	20630	20631	20632	20633	20634	20635	20636	20637	20638	20639	20640	20641	20642	20643	20644	20645	20646	20647	20648	20649	20650	20651
49	限时抢夺彩蛋	20700	20701	20702	20703	20704	20705	20706	20707	20708	20709	20710	20711	20712	20713	20714	20715	20716	20717	20718	20719	20720	20721	20722	20723	20724	20725	20726	20727	20728	20729	20730	20731	20732	20733	20734	20735	20736	20737	20738	20739	20740	20741	20742	20743	20744	20745	20746	20747	20748	20749	20750	20751
50	青衣冢-boss2--废弃	20016	20017	20018	20019	20020	20021	20022	20023	20024	20025	20026	20027	20028	20029	20030	20031	20032	20033	20034	20035	20036	20037	20038	20039	20040	20041	20042	20043	20044	20045	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
51	区域精英1--废弃	20100	20100	20100	20100	20100	20100	20100	20100	20100	20100	20100	20100	20100	20100	20100	20100	20100	20100	20100	20100	20100	20100	20100	20100	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
52	区域精英2--废弃	20101	20101	20101	20101	20101	20101	20101	20101	20101	20101	20101	20101	20101	20101	20101	20101	20101	20101	20101	20101	20101	20101	20101	20101	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
53	区域精英3--废弃	20102	20102	20102	20102	20102	20102	20102	20102	20102	20102	20102	20102	20102	20102	20102	20102	20102	20102	20102	20102	20102	20102	20102	20102	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
54	区域精英4--废弃	20103	20103	20103	20103	20103	20103	20103	20103	20103	20103	20103	20103	20103	20103	20103	20103	20103	20103	20103	20103	20103	20103	20103	20103	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
55	区域精英5--废弃	20104	20104	20104	20104	20104	20104	20104	20104	20104	20104	20104	20104	20104	20104	20104	20104	20104	20104	20104	20104	20104	20104	20104	20104	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
56	区域精英6--废弃	20105	20105	20105	20105	20105	20105	20105	20105	20105	20105	20105	20105	20105	20105	20105	20105	20105	20105	20105	20105	20105	20105	20105	20105	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
57	区域精英7--废弃	20106	20106	20106	20106	20106	20106	20106	20106	20106	20106	20106	20106	20106	20106	20106	20106	20106	20106	20106	20106	20106	20106	20106	20106	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
58	区域精英8--废弃	20107	20107	20107	20107	20107	20107	20107	20107	20107	20107	20107	20107	20107	20107	20107	20107	20107	20107	20107	20107	20107	20107	20107	20107	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
59	区域精英9--废弃	20108	20108	20108	20108	20108	20108	20108	20108	20108	20108	20108	20108	20108	20108	20108	20108	20108	20108	20108	20108	20108	20108	20108	20108	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
60	区域精英10--废弃	20109	20109	20109	20109	20109	20109	20109	20109	20109	20109	20109	20109	20109	20109	20109	20109	20109	20109	20109	20109	20109	20109	20109	20109	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
61	区域精英11--废弃	20110	20110	20110	20110	20110	20110	20110	20110	20110	20110	20110	20110	20110	20110	20110	20110	20110	20110	20110	20110	20110	20110	20110	20110	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
62	区域精英12--废弃	20111	20111	20111	20111	20111	20111	20111	20111	20111	20111	20111	20111	20111	20111	20111	20111	20111	20111	20111	20111	20111	20111	20111	20111	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
63	区域精英13--废弃	20112	20112	20112	20112	20112	20112	20112	20112	20112	20112	20112	20112	20112	20112	20112	20112	20112	20112	20112	20112	20112	20112	20112	20112	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
64	区域精英14--废弃	20113	20113	20113	20113	20113	20113	20113	20113	20113	20113	20113	20113	20113	20113	20113	20113	20113	20113	20113	20113	20113	20113	20113	20113	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
65	区域精英15--废弃	20114	20114	20114	20114	20114	20114	20114	20114	20114	20114	20114	20114	20114	20114	20114	20114	20114	20114	20114	20114	20114	20114	20114	20114	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
66	区域精英16--废弃	20115	20115	20115	20115	20115	20115	20115	20115	20115	20115	20115	20115	20115	20115	20115	20115	20115	20115	20115	20115	20115	20115	20115	20115	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
67	区域精英17--废弃	20116	20116	20116	20116	20116	20116	20116	20116	20116	20116	20116	20116	20116	20116	20116	20116	20116	20116	20116	20116	20116	20116	20116	20116	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
68	区域精英18--废弃	20117	20117	20117	20117	20117	20117	20117	20117	20117	20117	20117	20117	20117	20117	20117	20117	20117	20117	20117	20117	20117	20117	20117	20117	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
69	区域精英19--废弃	20118	20118	20118	20118	20118	20118	20118	20118	20118	20118	20118	20118	20118	20118	20118	20118	20118	20118	20118	20118	20118	20118	20118	20118	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
70	区域精英20--废弃	20119	20119	20119	20119	20119	20119	20119	20119	20119	20119	20119	20119	20119	20119	20119	20119	20119	20119	20119	20119	20119	20119	20119	20119	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
71	区域精英21--废弃	20120	20120	20120	20120	20120	20120	20120	20120	20120	20120	20120	20120	20120	20120	20120	20120	20120	20120	20120	20120	20120	20120	20120	20120	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
72	区域精英22--废弃	20121	20121	20121	20121	20121	20121	20121	20121	20121	20121	20121	20121	20121	20121	20121	20121	20121	20121	20121	20121	20121	20121	20121	20121	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
73	区域精英23--废弃	20122	20122	20122	20122	20122	20122	20122	20122	20122	20122	20122	20122	20122	20122	20122	20122	20122	20122	20122	20122	20122	20122	20122	20122	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
74	区域精英24--废弃	20123	20123	20123	20123	20123	20123	20123	20123	20123	20123	20123	20123	20123	20123	20123	20123	20123	20123	20123	20123	20123	20123	20123	20123	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
75	区域精英25--废弃	20124	20124	20124	20124	20124	20124	20124	20124	20124	20124	20124	20124	20124	20124	20124	20124	20124	20124	20124	20124	20124	20124	20124	20124	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
500	第1-500用于怪物ID	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
501	藏宝图	10501	10502	10503	10504	10505	10506	10507	10508	10509	10510	10511	10512	10513	10514	10515	10516	10517	10518	10519	10520	10521	10522	10523	10524	10525	10526	10527	10528	10529	10530	10531	10532	10533	10534	10535	10536	10537	10538	10539	10540	10541	10542	10543	10544	10545	10546	10547	10548	10549	10550	10551	10552
503	未鉴定藏宝图New	10559	10559	10559	10559	10559	10559	10559	10559	10559	10559	10559	10559	10560	10560	10560	10560	10561	10561	10561	10561	10562	10562	10562	10562	10562	10562	10562	10562	10562	10562	10562	10562	10562	10562	10562	10562	10562	10562	10562	10562	10562	10562	10562	10562	10562	10562	10562	10562	10562	10562	10562	10562
504	魔方小关卡	9900	9900	9900	9900	9900	9900	9900	9900	9900	9900	9900	9900	9902	9902	9902	9902	9904	9904	9904	9904	9906	9906	9906	9906	9908	9908	9908	9908	9908	9908	9908	9908	9908	9908	9908	9908	9908	9908	9908	9908	9908	9908	9908	9908	9908	9908	9908	9908	9908	9908	9908	9908
505	魔方最终关卡	9901	9901	9901	9901	9901	9901	9901	9901	9901	9901	9901	9901	9903	9903	9903	9903	9905	9905	9905	9905	9907	9907	9907	9907	9909	9909	9909	9909	9909	9909	9909	9909	9909	9909	9909	9909	9909	9909	9909	9909	9909	9909	9909	9909	9909	9909	9909	9909	9909	9909	9909	9909
506	119黄昏老3箱子	1008	1008	1008	1008	1008	1008	1008	1008	1008	1008	1008	1008	1008	1008	1008	1008	1008	1008	1008	1008	1008	1008	1008	1008	1009	1009	1009	1009	1009	1009	1009	1009	1009	1009	1009	1009	1009	1009	1009	1009	1009	1009	1009	1009	1009	1009	1009	1009	1009	1009	1009	1009
550	帮会团本BOSS老一老二	20200	20201	20202	20203	20204	20205	20206	20207	20208	20209	20210	20211	20212	20213	20214	20215	20216	20217	20218	20219	20220	20221	20222	20223	20223	20223	20223	20223	20223	20223	20223	20223	20223	20223	20223	20223	20223	20223	20223	20223	20223	20223	20223	20223	20223	20223	20223	20223	20223	20223	20223	20223
551	帮会团本小怪	21000	21001	21002	21003	21004	21005	21006	21007	21008	21009	21010	21011	21012	21013	21014	21015	21016	21017	21018	21019	21020	21021	21022	21023	21023	21023	21023	21023	21023	21023	21023	21023	21023	21023	21023	21023	21023	21023	21023	21023	21023	21023	21023	21023	21023	21023	21023	21023	21023	21023	21023	21023
552	帮会团本BOSS老三	20250	20251	20252	20253	20254	20255	20256	20257	20258	20259	20260	20261	20262	20263	20264	20265	20266	20267	20268	20269	20270	20271	20272	20273	20273	20273	20273	20273	20273	20273	20273	20273	20273	20273	20273	20273	20273	20273	20273	20273	20273	20273	20273	20273	20273	20273	20273	20273	20273	20273	20273	20273
553	转生帮会团本BOSS老一老二	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	20224	20225	20226	20227	20228	20229	20230	20231	20232	20233	20234	20235	20236	20237	20238	20239	20240	20241	20242	20243	20244	20245	20246	20247	20248	20249	20330	20331
554	转生帮会团本小怪	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	21024	21025	21026	21027	21028	21029	21030	21031	21032	21033	21034	21035	21036	21037	21038	21039	21040	21041	21042	21043	21044	21045	21046	21047	21048	21049	21050	21051
555	转生帮会团本BOSS老三和隐藏	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	20274	20275	20276	20277	20278	20279	20280	20281	20282	20283	20284	20285	20286	20287	20288	20289	20290	20291	20292	20293	20294	20295	20296	20297	20298	20299	20332	20333
600	抓鬼BOSS	20400	20401	20402	20403	20404	20405	20406	20407	20408	20409	20410	20411	20412	20413	20414	20415	20416	20417	20418	20419	20420	20421	20422	20423	20424	20425	20426	20427	20428	20429	20430	20431	20432	20433	20434	20435	20436	20437	20438	20439	20440	20441	20442	20443	20444	20445	20446	20447	20448	20449	20450	20451
601	凤鸣谷BOSS	20500	20501	20502	20503	20504	20505	20506	20507	20508	20509	20510	20511	20512	20513	20514	20515	20516	20517	20518	20519	20520	20521	20522	20523	20524	20524	20524	20524	20524	20524	20524	20524	20525	20525	20525	20525	20525	20525	20525	20525	20525	20525	20525	20525	20525	20525	20525	20525	20525	20525	20525	20525
602	抓鬼小怪掉落	21000	21001	21002	21003	21004	21005	21006	21007	21008	21009	21010	21011	21012	21013	21014	21015	21016	21017	21018	21019	21020	21021	21022	21023	21024	21025	21026	21027	21028	21029	21030	21031	21032	21033	21034	21035	21036	21037	21038	21039	21040	21041	21042	21043	21044	21045	21046	21047	21048	21049	21050	21051
603	修罗道宝箱1层	11003	11003	11003	11003	11003	11003	11003	11003	11003	11003	11003	11003	11006	11006	11006	11006	11015	11009	11009	11009	11012	11012	11012	11012	11018	11018	11018	11018	11018	11018	11018	11018	11021	11021	11021	11021	11021	11021	11021	11021	11024	11024	11024	11024	11027	11027	11027	11027	11030	11030	11030	11030
604	修罗道宝箱2层	11004	11004	11004	11004	11004	11004	11004	11004	11004	11004	11004	11004	11007	11007	11007	11007	11016	11010	11010	11010	11013	11013	11013	11013	11019	11019	11019	11019	11019	11019	11019	11019	11022	11022	11022	11022	11022	11022	11022	11022	11025	11025	11025	11025	11028	11028	11028	11028	11031	11031	11031	11031
605	修罗道宝箱3层	11005	11005	11005	11005	11005	11005	11005	11005	11005	11005	11005	11005	11008	11008	11008	11008	11017	11011	11011	11011	11014	11014	11014	11014	11020	11020	11020	11020	11020	11020	11020	11020	11023	11023	11023	11023	11023	11023	11023	11023	11026	11026	11026	11026	11029	11029	11029	11029	11032	11032	11032	11032
606	帮会环	10800	10800	10800	10800	10800	10800	10800	10800	10800	10800	10800	10800	10800	10800	10800	10800	10801	10801	10801	10801	10802	10802	10802	10802	10803	10803	10803	10803	10803	10803	10803	10803	10803	10803	10803	10803	10803	10803	10803	10803	10803	10803	10803	10803	10803	10803	10803	10803	10803	10803	10803	10803
607	挖宝随机副本	20900	20900	20900	20900	20900	20900	20900	20900	20900	20900	20900	20900	20900	20900	20900	20900	20900	20900	20900	20900	20900	20900	20900	20900	20900	20900	20900	20900	20900	20900	20900	20900	20900	20900	20900	20900	20900	20900	20900	20900	20900	20900	20900	20900	20900	20900	20900	20900	20900	20900	20900	20900
610	曲别针--第1环掉落	20800	20800	20800	20800	20800	20800	20800	20800	20800	20800	20800	20800	20800	20800	20800	20800	20800	20800	20800	20800	20800	20800	20800	20800	20800	20800	20800	20800	20800	20800	20800	20800	20800	20800	20800	20800	20800	20800	20800	20800	20800	20800	20800	20800	20800	20800	20800	20800	20800	20800	20800	20800
611	曲别针--第2环掉落	20801	20801	20801	20801	20801	20801	20801	20801	20801	20801	20801	20801	20801	20801	20801	20801	20801	20801	20801	20801	20801	20801	20801	20801	20801	20801	20801	20801	20801	20801	20801	20801	20801	20801	20801	20801	20801	20801	20801	20801	20801	20801	20801	20801	20801	20801	20801	20801	20801	20801	20801	20801
612	曲别针--第3环掉落	20802	20802	20802	20802	20802	20802	20802	20802	20802	20802	20802	20802	20802	20802	20802	20802	20802	20802	20802	20802	20802	20802	20802	20802	20802	20802	20802	20802	20802	20802	20802	20802	20802	20802	20802	20802	20802	20802	20802	20802	20802	20802	20802	20802	20802	20802	20802	20802	20802	20802	20802	20802
613	曲别针--第4环掉落	20803	20803	20803	20803	20803	20803	20803	20803	20803	20803	20803	20803	20803	20803	20803	20803	20803	20803	20803	20803	20803	20803	20803	20803	20803	20803	20803	20803	20803	20803	20803	20803	20803	20803	20803	20803	20803	20803	20803	20803	20803	20803	20803	20803	20803	20803	20803	20803	20803	20803	20803	20803
614	曲别针--第5环掉落	20804	20804	20804	20804	20804	20804	20804	20804	20804	20804	20804	20804	20804	20804	20804	20804	20804	20804	20804	20804	20804	20804	20804	20804	20804	20804	20804	20804	20804	20804	20804	20804	20804	20804	20804	20804	20804	20804	20804	20804	20804	20804	20804	20804	20804	20804	20804	20804	20804	20804	20804	20804
615	曲别针--第6环掉落	20805	20805	20805	20805	20805	20805	20805	20805	20805	20805	20805	20805	20805	20805	20805	20805	20805	20805	20805	20805	20805	20805	20805	20805	20805	20805	20805	20805	20805	20805	20805	20805	20805	20805	20805	20805	20805	20805	20805	20805	20805	20805	20805	20805	20805	20805	20805	20805	20805	20805	20805	20805
616	曲别针--第7环掉落	20806	20806	20806	20806	20806	20806	20806	20806	20806	20806	20806	20806	20806	20806	20806	20806	20806	20806	20806	20806	20806	20806	20806	20806	20806	20806	20806	20806	20806	20806	20806	20806	20806	20806	20806	20806	20806	20806	20806	20806	20806	20806	20806	20806	20806	20806	20806	20806	20806	20806	20806	20806
617	曲别针--第8环掉落	20807	20807	20807	20807	20807	20807	20807	20807	20807	20807	20807	20807	20807	20807	20807	20807	20807	20807	20807	20807	20807	20807	20807	20807	20807	20807	20807	20807	20807	20807	20807	20807	20807	20807	20807	20807	20807	20807	20807	20807	20807	20807	20807	20807	20807	20807	20807	20807	20807	20807	20807	20807
618	曲别针--第9环掉落	20808	20808	20808	20808	20808	20808	20808	20808	20808	20808	20808	20808	20808	20808	20808	20808	20808	20808	20808	20808	20808	20808	20808	20808	20808	20808	20808	20808	20808	20808	20808	20808	20808	20808	20808	20808	20808	20808	20808	20808	20808	20808	20808	20808	20808	20808	20808	20808	20808	20808	20808	20808
619	曲别针--第10环掉落	20809	20809	20809	20809	20809	20809	20809	20809	20809	20809	20809	20809	20809	20809	20809	20809	20809	20809	20809	20809	20809	20809	20809	20809	20809	20809	20809	20809	20809	20809	20809	20809	20809	20809	20809	20809	20809	20809	20809	20809	20809	20809	20809	20809	20809	20809	20809	20809	20809	20809	20809	20809
620	曲别针--扫荡掉落	20810	20810	20810	20810	20810	20810	20810	20810	20810	20810	20810	20810	20810	20810	20810	20810	20810	20810	20810	20810	20810	20810	20810	20810	20810	20810	20810	20810	20810	20810	20810	20810	20810	20810	20810	20810	20810	20810	20810	20810	20810	20810	20810	20810	20810	20810	20810	20810	20810	20810	20810	20810
630	1级城战每日奖励--9.18分等级版	1011	1011	1011	1011	1011	1011	1011	1011	1011	1011	1011	1011	1011	1011	1011	1011	1011	1011	1011	1011	1011	1011	1011	1011	1014	1014	1014	1014	1014	1014	1014	1014	1014	1014	1014	1014	1014	1014	1014	1014	1014	1014	1014	1014	1014	1014	1014	1014	1014	1014	1014	1014
631	2级城战每日奖励--9.18分等级版	1012	1012	1012	1012	1012	1012	1012	1012	1012	1012	1012	1012	1012	1012	1012	1012	1012	1012	1012	1012	1012	1012	1012	1012	1015	1015	1015	1015	1015	1015	1015	1015	1015	1015	1015	1015	1015	1015	1015	1015	1015	1015	1015	1015	1015	1015	1015	1015	1015	1015	1015	1015
632	3级城战每日奖励--9.18分等级版	1013	1013	1013	1013	1013	1013	1013	1013	1013	1013	1013	1013	1013	1013	1013	1013	1013	1013	1013	1013	1013	1013	1013	1013	1016	1016	1016	1016	1016	1016	1016	1016	1016	1016	1016	1016	1016	1016	1016	1016	1016	1016	1016	1016	1016	1016	1016	1016	1016	1016	1016	1016
633	圣诞宝箱组1,2-1-400	34500	34500	34500	34500	34500	34500	34500	34500	34500	34500	34500	34500	34500	34500	34500	34500	34500	34500	34500	34500	34500	34500	34500	34500	34500	34500	34500	34500	34500	34500	34500	34500	34500	34500	34500	34500	34500	34500	34500	34500	34500	34500	34500	34500	34500	34500	34500	34500	34500	34500	34500	34500
