Id	Desc	ExpNeed	FellowExpNeed	Stamina	SkillWashTimes	FairyExpNeed	FairyPoints	SilverCoinParam	ExpParam	DailyExpMax	FixServerOpenDay	FixServerOpenDay2	MaxExtendWarpath	ExpFactor	MergeRedeemDay
22	升级所需经验	11466	2293	280	3	2293	5	5940.129103	147.03339	449000	1	1	160	1	0.001
23	升级所需经验	13232	2646	280	3	2646	5	5988.401519	168.89701	449000	1	1	160	1	0.001
24	升级所需经验	15217	3043	280	3	3043	5	6037.009695	194.01172	449000	1	1	160	1	0.001
25	升级所需经验	17457	3491	300	3	3491	5	6085.955969	214.20631	449000	1	1	160	1	0.077615681
26	升级所需经验	19804	3961	300	3	3961	5	6135.24269	233.59363	482000	1	1	160	1	0.080745501
27	升级所需经验	22219	4444	300	3	4444	5	6184.872228	252.29508	515000	1	1	160	1	0.083875321
28	升级所需经验	24702	4940	300	3	4940	5	6234.846966	270.40317	643000	1	1	160	1	0.087005141
29	升级所需经验	26788	5358	300	3	5358	5	6285.169306	287.99049	789000	1	1	160	1	0.036053985
30	升级所需经验	34147	9561	320	3	9561	5	6335.841666	305.11529	851000	1	1	160	1	0.001
31	升级所需经验	41879	14193	320	3	14193	5	6386.86648	321.82526	851000	1	1	160	1	0.072295951
32	升级所需经验	50482	19183	320	3	19183	5	6438.2462	338.16003	968000	2	2	160	1	0.099524422
33	升级所需经验	54532	20722	320	3	20722	5	6489.983293	354.15301	1132000	2	2	160	1	0.102654242
34	升级所需经验	58683	22300	320	3	22300	5	6542.080247	369.8327	1304000	2	2	160	1	0.105784062
35	升级所需经验	62934	23915	340	3	23915	5	6594.539564	385.22366	1487000	2	2	160	1	0.02722847
36	升级所需经验	67284	25568	340	3	25568	5	6647.363764	400.34725	1539000	2	2	160	1	0.112043702
37	升级所需经验	71733	27259	340	3	27259	5	6700.555385	415.22217	1762000	2	2	160	1	0.115173522
38	升级所需经验	76281	28987	340	3	28987	5	6754.116984	429.86495	1998000	2	2	160	1	0.118303342
39	升级所需经验	81045	30265	340	3	30265	5	6808.051133	445.0241	2249000	2	2	160	1	0.047425708
40	升级所需经验	108394	33504	360	3	33504	5	6862.360423	460.71784	2386000	2	2	160	1	0.001
41	升级所需经验	136319	36806	360	3	36806	5	6917.047465	476.96502	2386000	2	2	160	1	0.001
42	升级所需经验	166187	40309	360	3	40309	5	6972.114885	493.78516	2386000	2	2	160	1	0.001
43	升级所需经验	199327	40783	360	3	40783	5	7027.565329	511.19845	2386000	2	2	160	1	0.059803989
44	升级所需经验	234719	41234	360	3	41234	5	7083.401461	529.22583	2490000	2	2	160	1	0.119868906
45	升级所需经验	242867	46599	380	3	46599	5	7139.625965	547.88893	2703000	2	2	160	1	0.001
46	升级所需经验	252661	50532	380	3	50532	5	7196.241541	567.2102	2703000	2	2	160	1	0.12039076
47	升级所需经验	262138	52428	380	3	52428	5	7253.250909	587.21282	2912000	3	3	160	1	0.120651688
48	升级所需经验	271969	54394	380	3	54394	5	7310.656809	607.92084	3165000	3	3	160	1	0.120912615
49	升级所需经验	281710	56067	380	3	56067	5	7368.461998	629.35912	3458000	3	3	160	1	0.048469417
50	升级所需经验	291956	58391	400	2	58391	5	7426.669254	651.55342	3573000	3	3	160	1	0.001
51	升级所需经验	302901	60580	400	2	60580	5	7485.281374	674.5304	3573000	3	3	160	1	0.001
52	升级所需经验	315107	63021	400	2	63021	5	7544.301174	698.31766	3573000	3	3	160	1	0.121956324
53	升级所需经验	326917	65383	400	2	65383	5	7603.731488	722.94378	3835000	3	3	160	1	0.122217251
54	升级所需经验	339169	67834	400	2	67834	5	7663.575173	748.43834	4119000	3	3	160	1	0.122478179
55	升级所需经验	410903	82181	420	2	82181	5	7723.835104	774.83196	4393000	3	3	160	1	0.001
56	升级所需经验	450669	90134	420	2	90134	5	7784.514176	802.15635	4393000	3	3	160	1	0.001
57	升级所需经验	486260	97252	420	2	97252	5	7845.615304	830.44434	4393000	3	3	160	1	0.133838224
58	升级所需经验	517651	103530	420	2	103530	5	7907.141424	859.72989	4605000	3	3	160	1	0.137624906
59	升级所需经验	548920	109784	420	2	109784	5	7969.095492	890.0482	4821000	4	4	160	1	0.106058691
60	升级所需经验	880374	176075	440	2	176075	5	8031.480484	947.58228	4977000	4	4	160	1	0.001
61	升级所需经验	1064827	212965	440	2	212965	5	8094.299399	1008.83544	4977000	4	4	160	1	0.0964369
62	升级所需经验	1269034	253807	440	2	253807	5	8157.555254	1074.0481	5134000	4	4	160	1	0.270067116
63	升级所需经验	1496019	299204	440	2	299204	5	8221.251088	1143.47621	5495000	4	4	160	1	0.299041983
64	升级所需经验	1747047	349409	440	2	349409	5	8285.389961	1217.39226	5916000	5	5	160	1	0.32801685
65	升级所需经验	2026591	405318	460	2	405318	5	8349.974956	1296.08636	6360000	5	5	160	1	0.001
66	升级所需经验	2330049	466010	460	2	466010	5	8415.009175	1379.86736	6360000	5	5	160	1	0.385966584
67	升级所需经验	2666893	533379	460	2	533379	5	8480.495742	1469.06409	6733000	6	6	160	1	0.414941451
68	升级所需经验	3037549	607510	460	2	607510	5	8546.437805	1564.02664	7262000	6	6	160	1	0.443916318
69	升级所需经验	3445768	689154	460	2	689154	5	8612.838531	1665.12771	8023000	7	7	160	1	0.378312948
70	升级所需经验	3896842	779368	480	2	779368	5	8679.701111	1772.76411	8632000	7	7	160	1	0.001
71	升级所需经验	4384758	876952	480	2	876952	5	8747.028756	1887.35829	8632000	7	7	160	1	0.371588644
72	升级所需经验	4921312	984262	480	2	984262	5	8814.824703	2009.36001	9042000	7	7	160	1	0.559815787
73	升级所需经验	5510615	1102123	480	2	1102123	5	8883.092207	2139.24811	9608000	8	8	160	1	0.588790654
74	升级所需经验	6155541	1231108	480	2	1231108	5	8951.83455	2277.53238	10384000	9	9	160	1	0.617765521
75	升级所需经验	6867092	1373418	500	2	1373418	5	9021.055033	2424.75555	11348000	9	9	160	1	0.129348078
76	升级所需经验	7631556	1526311	500	2	1526311	5	9090.756983	2581.49545	11531000	9	9	160	1	0.675715255
77	升级所需经验	8473269	1694654	500	2	1694654	5	9160.943748	2748.36726	12254000	10	10	160	1	0.704690122
78	升级所需经验	9391912	1878382	500	2	1878382	5	9231.618701	2926.02592	13022000	11	11	160	1	0.733664989
79	升级所需经验	10395695	2079139	500	2	2079139	5	9302.785237	3115.1687	14090000	15	15	160	1	0.648243878
80	升级所需经验	13844887	2768977	520	2	2768977	5	9374.446776	3316.53796	15269000	15	15	160	1	0.190659964
81	升级所需经验	15985455	3197091	520	2	3197091	5	9446.60676	3530.92404	15448000	15	15	160	1	1.034805171
82	升级所需经验	18359246	3671849	520	2	3671849	5	9519.268656	3759.16837	16447000	16	16	160	1	1.116310523
83	升级所需经验	20973132	4194626	520	2	4194626	5	9592.435955	4002.16675	17510000	17	17	160	1	1.197815874
84	升级所需经验	23848235	4769647	520	2	4769647	5	9666.112174	4260.87292	18642000	18	18	160	1	1.279321225
85	升级所需经验	27025922	5405184	540	2	5405184	5	9740.300851	4536.30226	20431000	19	19	160	1	0.54433063
86	升级所需经验	30475347	6095069	540	2	6095069	5	9815.005551	4829.53576	21130000	20	20	160	1	1.442331927
87	升级所需经验	34278786	6855757	540	2	6855757	5	9890.229864	5141.72433	22496000	21	21	160	1	1.523837278
88	升级所需经验	38446604	7689321	540	2	7689321	5	9965.977403	5474.09324	23950000	23	23	160	1	1.605342629
89	升级所需经验	43014930	8602986	540	2	8602986	5	10042.25181	5827.94699	25498000	25	25	160	1	1.518163182
90	升级所需经验	48041149	9608230	560	2	9608230	5	10119.05674	6204.67439	27970000	27	27	160	1	0.530505999
91	升级所需经验	53461237	10692247	560	2	10692247	5	10196.3959	6605.75402	28901000	27	27	160	1	1.849858682
92	升级所需经验	59424836	11884967	560	2	11884967	5	10274.27299	7032.76004	30769000	29	29	160	1	1.931364033
93	升级所需经验	65936038	13187208	560	2	13187208	5	10352.69176	7487.3684	32758000	31	31	160	1	2.012869384
94	升级所需经验	73040721	14608144	560	2	14608144	5	10431.65598	7971.36332	34875000	33	33	160	1	2.094374735
95	升级所需经验	80834567	16166913	580	2	16166913	5	10511.16943	8486.64442	37130000	34	34	160	1	1.087940043
96	升级所需经验	89232525	17846505	580	2	17846505	5	10591.23595	9035.23408	39530000	37	37	160	1	2.257385437
97	升级所需经验	98430753	19686151	580	2	19686151	5	10671.85937	9619.28541	42085000	39	39	160	1	2.338890788
98	升级所需经验	108445296	21689059	580	2	21689059	5	10753.04357	10241.09071	44805000	41	41	160	1	2.420396139
99	升级所需经验	119356894	23871379	580	2	23871379	5	10834.79245	10903.09046	47702000	51	51	160	1	2.251711341
100	升级所需经验	131271962	26254392	600	2	26254392	5	10917.10995	11607.88288	50785000	51	51	160	1	1.291703421
101	升级所需经验	141343890	28268778	600	2	28268778	5	11000	12358.23415	54068000	53	53	160	1	2.6142226
102	升级所需经验	152254400	30450880	600	2	30450880	5	11083.4666	13157.08929	57563000	56	56	160	1	2.645038358
103	升级所需经验	163984845	32796969	600	2	32796969	5	11167.51376	14007.58363	61284000	59	59	160	1	2.675854116
104	升级所需经验	176595638	35319128	600	2	35319128	5	11252.14551	14913.05523	65245000	61	61	160	1	2.706669875
105	升级所需经验	190238504	38047701	620	2	38047701	5	11337.36592	15877.0579	69463000	63	63	160	1	1.64249138
106	升级所需经验	204722161	40944432	620	2	40944432	5	11423.17909	16903.37517	73953000	66	66	160	1	2.768301391
107	升级所需经验	220381921	44076384	620	2	44076384	5	11509.58913	17996.03516	78733000	69	69	160	1	2.79911715
108	升级所需经验	237210785	47442157	620	2	47442157	5	11596.6002	19159.32636	83823000	71	71	160	1	2.829932908
109	升级所需经验	255309053	51061811	620	2	51061811	5	11684.21649	20397.81447	89241000	74	74	160	1	2.717711233
110	升级所需经验	274881851	54976370	640	2	54976370	5	11772.44219	21716.36035	95010000	76	76	160	1	1.445782212
111	升级所需经验	295600533	59120107	640	2	59120107	5	11861.28155	23120.13906	101151000	79	79	160	1	2.922380183
112	升级所需经验	318027125	63605425	640	2	63605425	5	11950.73884	24614.66016	107690000	82	82	160	1	2.953195941
113	升级所需经验	342117921	68423584	640	2	68423584	5	12040.81835	26205.78938	114651000	84	84	160	1	2.9840117
114	升级所需经验	367994364	73598873	640	2	73598873	5	12131.52442	27899.77163	122062000	88	88	160	1	3.014827458
115	升级所需经验	395922342	79184468	660	2	79184468	5	12222.86139	29703.25548	129952000	90	90	160	1	2.131950252
116	升级所需经验	425634319	85126864	660	2	85126864	5	12314.83366	31623.31928	138353000	93	93	160	1	3.076458975
117	升级所需经验	457686988	91537398	660	2	91537398	5	12407.44566	33667.49894	147296000	96	96	160	1	3.107274733
118	升级所需经验	492104999	98421000	660	2	98421000	5	12500.70182	35843.81749	156817000	99	99	160	1	3.138090492
119	升级所需经验	529075335	105815067	660	2	105815067	5	12594.60662	38160.8166	166954000	117	117	160	1	3.089683594
120	升级所需经验	166957948	109091427	680	2	109091427	5	13434.60662	38161.8166	166957948	140	140	160	1	1
121	升级所需经验	41089230	0	682	2	0	5	13434.60662	38238.14023	167291864	141	141	300	1	0.245614035
122	升级所需经验	41171408	0	684	2	0	5	13434.60662	38314.61651	167626447	141	141	300	1	0.245614035
123	升级所需经验	41253751	0	686	2	0	5	13434.60662	38391.24575	167961700	141	141	300	1	0.245614035
124	升级所需经验	41336258	0	688	2	0	5	13434.60662	38468.02824	168297624	141	141	300	1	0.245614035
125	升级所需经验	41418931	0	690	2	0	5	13434.60662	38544.96429	168634219	142	142	300	1	0.245614035
126	升级所需经验	41501769	0	692	2	0	5	13434.60662	38622.05422	168971487	142	142	300	1	0.245614035
127	升级所需经验	41584772	0	694	2	0	5	13434.60662	38699.29833	169309430	142	142	300	1	0.245614035
128	升级所需经验	41667942	0	696	2	0	5	13434.60662	38776.69693	169648049	142	142	300	1	0.245614035
129	升级所需经验	41751278	0	698	2	0	5	13434.60662	38854.25032	169987345	143	143	300	1	0.245614035
130	升级所需经验	41834780	0	700	2	0	5	13434.60662	38931.95882	170327320	143	143	300	1	0.245614035
131	升级所需经验	41918450	0	702	2	0	5	13434.60662	39009.82274	170667974	143	143	300	1	0.245614035
132	升级所需经验	42002287	0	704	2	0	5	13434.60662	39087.84239	171009310	143	143	300	1	0.245614035
133	升级所需经验	42086291	0	706	2	0	5	13434.60662	39166.01807	171351329	144	144	300	1	0.245614035
134	升级所需经验	42170464	0	708	2	0	5	13434.60662	39244.35011	171694032	144	144	300	1	0.245614035
135	升级所需经验	42254805	0	710	2	0	5	13434.60662	39322.83881	172037420	144	144	300	1	0.245614035
136	升级所需经验	42339314	0	712	2	0	5	13434.60662	39401.48448	172381495	144	144	300	1	0.245614035
137	升级所需经验	42423993	0	714	2	0	5	13434.60662	39480.28745	172726258	144	144	300	1	0.245614035
138	升级所需经验	42508841	0	716	2	0	5	13434.60662	39559.24803	173071710	145	145	300	1	0.245614035
139	升级所需经验	42593859	0	718	2	0	5	13434.60662	39638.36652	173417854	145	145	300	1	0.245614035
140	升级所需经验	42679046	0	720	2	0	5	13434.60662	39717.64326	173764689	145	145	300	1	0.245614035
141	升级所需经验	42764405	0	722	2	0	5	13434.60662	39797.07854	174112219	145	145	300	1	0.245614035
142	升级所需经验	42849933	0	724	2	0	5	13434.60662	39876.6727	174460443	146	146	300	1	0.245614035
143	升级所需经验	42935633	0	726	2	0	5	13434.60662	39956.42605	174809364	146	146	300	1	0.245614035
144	升级所需经验	43021505	0	728	2	0	5	13434.60662	40036.3389	175158983	146	146	300	1	0.245614035
145	升级所需经验	43107548	0	730	2	0	5	13434.60662	40116.41158	175509301	146	146	300	1	0.245614035
146	升级所需经验	43193763	0	732	2	0	5	13434.60662	40196.6444	175860319	147	147	300	1	0.245614035
147	升级所需经验	43280150	0	734	2	0	5	13434.60662	40277.03769	176212040	147	147	300	1	0.245614035
148	升级所需经验	43366710	0	736	2	0	5	13434.60662	40357.59176	176564464	147	147	300	1	0.245614035
149	升级所需经验	43453444	0	738	2	0	5	13434.60662	40438.30695	176917593	147	147	300	1	0.245614035
150	升级所需经验	43540351	0	740	2	0	5	13434.60662	40519.18356	177271428	148	148	300	1	0.245614035
151	升级所需经验	43627431	0	742	2	0	5	13434.60662	40600.22193	177625971	148	148	300	1	0.245614035
152	升级所需经验	43714686	0	744	2	0	5	13434.60662	40681.42237	177981223	148	148	300	1	0.245614035
153	升级所需经验	43802116	0	746	2	0	5	13434.60662	40762.78522	178337185	148	148	300	1	0.245614035
154	升级所需经验	43889720	0	748	2	0	5	13434.60662	40844.31079	178693860	149	149	300	1	0.245614035
155	升级所需经验	43977499	0	750	2	0	5	13434.60662	40925.99941	179051247	149	149	300	1	0.245614035
156	升级所需经验	44065454	0	752	2	0	5	13434.60662	41007.85141	179409350	149	149	300	1	0.245614035
157	升级所需经验	44153585	0	754	2	0	5	13434.60662	41089.86711	179768169	149	149	300	1	0.245614035
158	升级所需经验	44241892	0	756	2	0	5	13434.60662	41172.04684	180127705	150	150	300	1	0.245614035
159	升级所需经验	44330376	0	758	2	0	5	13434.60662	41254.39094	180487960	150	150	300	1	0.245614035
160	升级所需经验	44419037	0	760	2	0	5	13434.60662	41336.89972	180848936	150	150	300	1	0.245614035
161	升级所需经验	44507875	0	762	2	0	5	13434.60662	41419.57352	181210634	150	150	300	1	0.245614035
162	升级所需经验	44596891	0	764	2	0	5	13434.60662	41502.41267	181573055	151	151	300	1	0.245614035
163	升级所需经验	44686085	0	766	2	0	5	13434.60662	41585.41749	181936202	151	151	300	1	0.245614035
164	升级所需经验	44775457	0	768	2	0	5	13434.60662	41668.58833	182300074	151	151	300	1	0.245614035
165	升级所需经验	44865008	0	770	2	0	5	13434.60662	41751.9255	182664674	151	151	300	1	0.245614035
166	升级所需经验	44954738	0	772	2	0	5	13434.60662	41835.42935	183030003	152	152	300	1	0.245614035
167	升级所需经验	45044647	0	774	2	0	5	13434.60662	41919.10021	183396063	152	152	300	1	0.245614035
168	升级所需经验	45134736	0	776	2	0	5	13434.60662	42002.93841	183762856	152	152	300	1	0.245614035
169	升级所需经验	45225006	0	778	2	0	5	13434.60662	42086.94429	184130381	152	152	300	1	0.245614035
170	升级所需经验	45315456	0	780	2	0	5	13434.60662	42171.11818	184498642	153	153	300	1	0.245614035
171	升级所需经验	45406087	0	782	2	0	5	13434.60662	42255.46042	184867639	153	153	300	1	0.245614035
172	升级所需经验	45496899	0	784	2	0	5	13434.60662	42339.97134	185237375	153	153	300	1	0.245614035
173	升级所需经验	45587893	0	786	2	0	5	13434.60662	42424.65128	185607849	153	153	300	1	0.245614035
174	升级所需经验	45679069	0	788	2	0	5	13434.60662	42509.50058	185979065	154	154	300	1	0.245614035
175	升级所需经验	45770427	0	790	2	0	5	13434.60662	42594.51958	186351023	154	154	300	1	0.245614035
176	升级所需经验	45861968	0	792	2	0	5	13434.60662	42679.70862	186723725	154	154	300	1	0.245614035
177	升级所需经验	45953692	0	794	2	0	5	13434.60662	42765.06804	187097173	154	154	300	1	0.245614035
178	升级所需经验	46045599	0	796	2	0	5	13434.60662	42850.59818	187471367	154	154	300	1	0.245614035
179	升级所需经验	46137690	0	798	2	0	5	13434.60662	42936.29937	187846310	176	176	300	1	0.245614035
180	升级所需经验	138689896	0	800	2	0	5	13434.60662	43022.17197	188222002	176	176	440	1	0.736842105
181	升级所需经验	138967276	0	802	2	0	5	13434.60662	43108.21631	188598446	177	177	440	1	0.736842105
182	升级所需经验	139245211	0	804	2	0	5	13434.60662	43194.43275	188975643	178	178	440	1	0.736842105
183	升级所需经验	139523701	0	806	2	0	5	13434.60662	43280.82161	189353595	178	178	440	1	0.736842105
184	升级所需经验	139802749	0	808	2	0	5	13434.60662	43367.38326	189732302	179	179	440	1	0.736842105
185	升级所需经验	140082354	0	810	2	0	5	13434.60662	43454.11802	190111766	179	179	440	1	0.736842105
186	升级所需经验	140362519	0	812	2	0	5	13434.60662	43541.02626	190491990	180	180	440	1	0.736842105
187	升级所需经验	140643244	0	814	2	0	5	13434.60662	43628.10831	190872974	181	181	440	1	0.736842105
188	升级所需经验	140924530	0	816	2	0	5	13434.60662	43715.36453	191254720	181	181	440	1	0.736842105
189	升级所需经验	141206379	0	818	2	0	5	13434.60662	43802.79526	191637229	182	182	440	1	0.736842105
190	升级所需经验	141488792	0	820	2	0	5	13434.60662	43890.40085	192020504	183	183	440	1	0.736842105
191	升级所需经验	141771770	0	822	2	0	5	13434.60662	43978.18165	192404545	184	184	440	1	0.736842105
192	升级所需经验	142055313	0	824	2	0	5	13434.60662	44066.13801	192789354	184	184	440	1	0.736842105
193	升级所需经验	142339424	0	826	2	0	5	13434.60662	44154.27029	193174933	185	185	440	1	0.736842105
194	升级所需经验	142624103	0	828	2	0	5	13434.60662	44242.57883	193561282	186	186	440	1	0.736842105
195	升级所需经验	142909351	0	830	2	0	5	13434.60662	44331.06399	193948405	187	187	440	1	0.736842105
196	升级所需经验	143195170	0	832	2	0	5	13434.60662	44419.72611	194336302	187	187	440	1	0.736842105
197	升级所需经验	143481560	0	834	2	0	5	13434.60662	44508.56557	194724974	188	188	440	1	0.736842105
198	升级所需经验	143768523	0	836	2	0	5	13434.60662	44597.5827	195114424	189	189	440	1	0.736842105
199	升级所需经验	144056060	0	838	2	0	5	13434.60662	44686.77786	195504653	211	211	440	1	0.736842105
200	升级所需经验	457089879	0	840	2	0	5	13434.60662	44776.15142	195895662	213	213	580	1	2.333333333
201	升级所需经验	458004059	0	842	2	0	5	13434.60662	44865.70372	196287454	215	215	580	1	2.333333333
202	升级所需经验	458920067	0	844	2	0	5	13434.60662	44955.43513	196680029	218	218	580	1	2.333333333
203	升级所需经验	459837907	0	846	2	0	5	13434.60662	45045.346	197073389	220	220	580	1	2.333333333
204	升级所需经验	460757583	0	848	2	0	5	13434.60662	45135.43669	197467536	222	222	580	1	2.333333333
205	升级所需经验	461679098	0	850	2	0	5	13434.60662	45225.70756	197862471	225	225	580	1	2.333333333
206	升级所需经验	462602456	0	852	2	0	5	13434.60662	45316.15898	198258196	227	227	580	1	2.333333333
207	升级所需经验	463527661	0	854	2	0	5	13434.60662	45406.7913	198654712	229	229	580	1	2.333333333
208	升级所需经验	464454716	0	856	2	0	5	13434.60662	45497.60488	199052021	229	229	580	1	2.333333333
209	升级所需经验	465383626	0	858	2	0	5	13434.60662	45588.60009	199450125	232	232	580	1	2.333333333
210	升级所需经验	466314393	0	860	2	0	5	13434.60662	45679.77729	199849026	234	234	580	1	2.333333333
211	升级所需经验	467247022	0	862	2	0	5	13434.60662	45771.13685	200248724	236	236	580	1	2.333333333
212	升级所需经验	468181516	0	864	2	0	5	13434.60662	45862.67912	200649221	239	239	580	1	2.333333333
213	升级所需经验	469117879	0	866	2	0	5	13434.60662	45954.40448	201050520	241	241	580	1	2.333333333
214	升级所需经验	470056115	0	868	2	0	5	13434.60662	46046.31329	201452621	243	243	580	1	2.333333333
215	升级所需经验	470996227	0	870	2	0	5	13434.60662	46138.40591	201855526	243	243	580	1	2.333333333
216	升级所需经验	471938219	0	872	2	0	5	13434.60662	46230.68272	202259237	246	246	580	1	2.333333333
217	升级所需经验	472882096	0	874	2	0	5	13434.60662	46323.14409	202663755	248	248	580	1	2.333333333
218	升级所需经验	473827860	0	876	2	0	5	13434.60662	46415.79038	203069083	250	250	580	1	2.333333333
219	升级所需经验	474775516	0	878	2	0	5	13434.60662	46508.62196	203475221	283	283	580	1	2.333333333
220	升级所需经验	475725067	0	880	2	0	5	13434.60662	46601.6392	203882172	285	285	720	1	2.333333333
221	升级所需经验	476676517	0	882	2	0	5	13434.60662	46694.84248	204289936	287	287	720	1	2.333333333
222	升级所需经验	477629870	0	884	2	0	5	13434.60662	46788.23217	204698516	290	290	720	1	2.333333333
223	升级所需经验	478585130	0	886	2	0	5	13434.60662	46881.80863	205107913	292	292	720	1	2.333333333
224	升级所需经验	479542300	0	888	2	0	5	13434.60662	46975.57225	205518129	294	294	720	1	2.333333333
225	升级所需经验	480501385	0	890	2	0	5	13434.60662	47069.52339	205929165	297	297	720	1	2.333333333
226	升级所需经验	481462387	0	892	2	0	5	13434.60662	47163.66244	206341023	299	299	720	1	2.333333333
227	升级所需经验	482425312	0	894	2	0	5	13434.60662	47257.98976	206753705	301	301	720	1	2.333333333
228	升级所需经验	483390163	0	896	2	0	5	13434.60662	47352.50574	207167213	301	301	720	1	2.333333333
229	升级所需经验	484356943	0	898	2	0	5	13434.60662	47447.21075	207581547	304	304	720	1	2.333333333
230	升级所需经验	485325657	0	900	2	0	5	13434.60662	47542.10518	207996710	306	306	720	1	2.333333333
231	升级所需经验	486296308	0	902	2	0	5	13434.60662	47637.18939	208412704	308	308	720	1	2.333333333
232	升级所需经验	487268901	0	904	2	0	5	13434.60662	47732.46377	208829529	311	311	720	1	2.333333333
233	升级所需经验	488243439	0	906	2	0	5	13434.60662	47827.92869	209247188	313	313	720	1	2.333333333
234	升级所需经验	489219926	0	908	2	0	5	13434.60662	47923.58455	209665682	315	315	720	1	2.333333333
235	升级所需经验	490198365	0	910	2	0	5	13434.60662	48019.43172	210085014	315	315	720	1	2.333333333
236	升级所需经验	491178762	0	912	2	0	5	13434.60662	48115.47058	210505184	318	318	720	1	2.333333333
237	升级所需经验	492161120	0	914	2	0	5	13434.60662	48211.70152	210926194	320	320	720	1	2.333333333
238	升级所需经验	493145442	0	916	2	0	5	13434.60662	48308.12493	211348047	322	322	720	1	2.333333333
239	升级所需经验	494131733	0	918	2	0	5	13434.60662	48404.74118	211770743	355	355	720	1	2.333333333
240	升级所需经验	502565410	0	918	2	0	5	13434.60662	48404.74118	273414055	357	357	860	1	2.368421053
241	升级所需经验	503570541	0	918	2	0	5	13434.60662	48404.74118	273414055	359	359	860	1	2.368421053
242	升级所需经验	504577682	0	918	2	0	5	13434.60662	48404.74118	273414055	362	362	860	1	2.368421053
243	升级所需经验	505586837	0	918	2	0	5	13434.60662	48404.74118	273414055	364	364	860	1	2.368421053
244	升级所需经验	506598011	0	918	2	0	5	13434.60662	48404.74118	273414055	366	366	860	1	2.368421053
245	升级所需经验	507611207	0	918	2	0	5	13434.60662	48404.74118	273414055	369	369	860	1	2.368421053
246	升级所需经验	508626429	0	918	2	0	5	13434.60662	48404.74118	273414055	371	371	860	1	2.368421053
247	升级所需经验	509643682	0	918	2	0	5	13434.60662	48404.74118	273414055	373	373	860	1	2.368421053
248	升级所需经验	510662969	0	918	2	0	5	13434.60662	48404.74118	273414055	376	376	860	1	2.368421053
249	升级所需经验	511684295	0	918	2	0	5	13434.60662	48404.74118	273414055	378	378	860	1	2.368421053
250	升级所需经验	512707664	0	918	2	0	5	13434.60662	48404.74118	273414055	378	378	860	1	2.368421053
251	升级所需经验	513733079	0	918	2	0	5	13434.60662	48404.74118	273414055	381	381	860	1	2.368421053
252	升级所需经验	514760545	0	918	2	0	5	13434.60662	48404.74118	273414055	383	383	860	1	2.368421053
