Id	Desc	Name	SceneResource	DBIndex	SceneRuleID	Type	IsOriginalWorldLoad	IsBigWorldLoad	IsBattleServerLoad	IsBattleCopySceneWorldLoad	Length	Width	Obstacle	Tussock	SceneMapTexture	SceneMapWidth	SceneMapHeight	SceneMapLogicWidth	BGMusic	CopySceneID	CopySceneReEnterable	MaxInstCount	PlayersMaxA	PlayersMaxB	PlayersMaxC	GroupNormalSize	GroupSlowSize	GroupPauseSize	ReliveType_1	ReliveType_2	ReliveType_3	ReliveType_4	Entry_x	Entry_z	Safe_x	Safe_z	ReliveOriginalNum	ReliveEntryNum	EnterSceneEffect	LeaveSceneEffect	WMEnterLevelLimit	EnterNoticeDicID	CanUsePlanScene	PlayerViewRadius	PlayerViewEdgeInc	ChangeTab	SafeAreaIndex	DamageRefixAreaIndex	SeamlessOffSetX	SeamlessOffsetZ	IsSeamlessLoadAll	LoadLevel	IsHideSummonMonster	IsAutoDisableOtherPlayerEffect	OpenNearPlayerLv	CancelGuiDaoGuWangTrans	CancelLieShanTrans	OpenMainUIAutoFade	IsTianHuaFly	ChatPaoMinLevel	InviteeLv	IsMagicSkillOpen
7	副本	死灵之渊	9	7	6	2	1	1	0	0	44	74	./Scene/Fb_silingyuan.path		silingyuan	240	240	80	41	2	0	-1	5	10	-1	10	80	100	1	1	1	1	16.5	12	16.5	2.49	-1	-1	0	0	1	-1	0	16	4	1	-1	-1	0	0	0	1	0	0	1	0	0	0	1	0	-1	1
8	副本	幻月秘境	5	8	6	2	1	1	0	0	48	48	./Scene/Fb_huanyuedongfu.path		huanyuedongfu	144	144	48	31	3	0	-1	40	56	-1	10	80	100	1	1	1	1	19.17	33.58	17.72	37	-1	-1	0	0	1	-1	0	1000	4	1	-1	-1	0	0	0	1	0	0	1	0	0	0	1	0	-1	1
9	河阳相位	河阳城	7	9	4	2	1	0	0	0	128	128	./Scene/Zc_Heyangcheng.path		heyangcheng	384	384	128	41	4	0	-1	40	56	-1	16	80	100	1	1	1	1	52	67	79.92	63.41	-1	-1	0	0	1	4122	1	16	4	0	-1	-1	0	0	0	1	0	0	1	0	0	0	1	0	9	1
10	职业场景	须弥山	14	10	0	1	1	0	0	0	128	128	./Scene/Yw_Tianyinsi.path		tianyinsi	384	384	128	65	0	0	-1	40	56	-1	8	80	100	1	1	1	1	113.37	12.42	113.37	12.42	-1	-1	1	1	10	-1	1	16	4	0	-1	-1	0	0	0	1	0	0	1	0	0	1	1	0	-1	1
11	职业场景	狐岐山	12	11	0	1	1	0	0	0	128	128	./Scene/Yw_huqishan.path		huqishan	384	384	128	118	0	0	-1	40	56	-1	8	80	100	1	1	1	1	9	67	10.18	55.18	-1	-1	1	1	10	-1	1	16	4	0	-1	-1	0	0	0	1	0	0	1	0	0	1	1	0	-1	1
12	职业场景	逍遥涧	15	12	0	1	1	0	0	0	128	128	./Scene/Yw_xiaoyaojian.path		xiaoyaojian	384	384	128	56	0	0	-1	40	56	-1	8	80	100	1	1	1	1	57.85	11.83	57.85	11.83	-1	-1	1	1	10	-1	1	16	4	0	-1	-1	0	0	0	1	0	0	1	0	0	1	1	0	-1	1
13	副本	修真仙魔录	6	13	13	2	1	0	0	0	40	40	./Scene/Fb_xiuzhenxianmolu.path		huanyuedongfu	144	144	40	57	10	0	-1	40	56	-1	10	80	100	1	1	1	1	18.48	24.36	18.48	24.36	-1	-1	0	0	1	-1	1	16	4	0	-1	-1	0	0	0	1	0	0	1	0	0	0	1	0	-1	1
14	青云相位	青云山	3	14	4	2	1	0	0	0	128	128	./Scene/zc_qingyunshan.path		qingyunshan	384	384	128	335	5	0	-1	40	56	-1	16	80	100	1	1	1	1	3.43	9.51	86.82	63.18	-1	-1	0	0	1	4122	1	16	4	0	-1	-1	0	0	0	1	0	0	1	0	0	0	1	0	-1	1
15	副本	草庙疑云	8	15	6	2	1	1	0	0	34	34	./Scene/Fb_caomiaocun.path		caomiaocun	120	120	40	30	7	0	-1	40	56	-1	10	80	100	1	1	1	1	22	14	22	14	-1	-1	0	0	1	-1	0	16	4	1	-1	-1	0	0	0	1	0	0	1	0	0	0	1	0	-1	1
16	天音相位	天音寺	14	16	4	2	1	0	0	0	128	128	./Scene/Yw_Tianyinsi.path		tianyinsi	384	384	128	335	6	0	-1	40	56	-1	16	80	100	1	1	1	1	113.37	12.42	86.82	63.18	-1	-1	0	0	1	4122	1	16	4	0	-1	-1	0	0	0	1	0	0	1	0	0	0	1	0	-1	1
17	天音任务-相位	达摩院	14	17	4	2	1	0	0	0	128	128	./Scene/Yw_Tianyinsi.path		tianyinsi	384	384	128	41	8	0	-1	40	56	-1	16	80	100	1	1	1	1	113.37	12.42	86.82	63.18	-1	-1	0	0	1	4122	1	16	4	0	-1	-1	0	0	0	1	0	0	1	0	0	0	1	0	-1	1
18	鬼王相位	狐岐山	12	18	4	2	1	0	0	0	128	128	./Scene/Yw_huqishan.path		huqishan	384	384	128	41	9	0	-1	40	56	-1	16	80	100	1	1	1	1	3.43	9.51	3.43	9.51	-1	-1	0	0	1	4122	1	16	4	0	-1	-1	0	0	0	1	0	0	1	0	0	0	1	0	-1	1
19	鬼王任务-相位	山野小径	12	19	4	2	1	0	0	0	128	128	./Scene/Yw_huqishan.path		huqishan	384	384	128	118	11	0	-1	40	56	-1	16	80	100	1	1	1	1	3.43	9.51	3.43	9.51	-1	-1	0	0	1	4122	1	16	4	0	-1	-1	0	0	0	1	0	0	1	0	0	0	1	0	-1	1
20	鬼王任务-相位	鬼王宗分堂	12	20	4	2	1	0	0	0	128	128	./Scene/Yw_huqishan.path		huqishan	384	384	128	335	12	0	-1	40	56	-1	16	80	100	1	1	1	1	3.43	9.51	3.43	9.51	-1	-1	0	0	1	4122	1	16	4	0	-1	-1	0	0	0	1	0	0	1	0	0	0	1	0	-1	1
21	合欢任务-相位	血池	12	21	4	2	1	0	0	0	128	128	./Scene/Yw_huqishan.path		huqishan	384	384	128	41	13	0	-1	40	56	-1	16	80	100	1	1	1	1	3.43	9.51	3.43	9.51	-1	-1	0	0	1	4122	1	16	4	0	-1	-1	0	0	0	1	0	0	1	0	0	0	1	0	-1	1
22	合欢任务-相位	逍遥涧	15	22	4	2	1	0	0	0	128	128	./Scene/Yw_xiaoyaojian.path		xiaoyaojian	384	384	128	41	14	0	-1	40	56	-1	16	80	100	1	1	1	1	57.85	11.83	86.82	63.18	-1	-1	0	0	1	4122	1	16	4	0	-1	-1	0	0	0	1	0	0	1	0	0	0	1	0	-1	1
23	切磋决斗副本	擂台	6	23	8	2	1	1	0	0	40	40	./Scene/Fb_xiuzhenxianmolu.path		huanyuedongfu	144	144	40	57	15	1	-1	40	56	-1	10	80	100	0	0	1	0	16	23	16	23	-1	-1	0	0	1	-1	1	1000	4	0	-1	-1	0	0	0	1	0	0	1	0	0	0	1	0	-1	1
24	副本	切磋(废弃)	3	24	0	2	1	0	0	0	128	128	./Scene/zc_qingyunshan.path		qingyunshan	384	384	128	57	0	0	-1	40	56	-1	10	80	100	0	1	1	1	3.43	9.51	3.43	9.51	-1	-1	0	0	1	-1	1	16	4	0	-1	-1	0	0	0	1	0	0	1	0	0	0	1	0	-1	1
25	野外	监狱	16	25	7	1	1	0	0	0	33	33	./Scene/Fb_dixuedong.path		dixuedong	96	96	33	120	0	0	-1	40	56	-1	8	80	100	1	1	0	1	16.38	24.88	16.38	24.88	-1	-1	0	0	1	-1	1	16	4	0	-1	-1	0	0	0	1	0	0	1	0	0	0	1	0	-1	0
26	帮战副本	天池之巅	11	26	10	2	1	0	0	0	96	288	./Scene/Fb_GuildWar.path		bangzhan	450	450	240	1	28	1	-1	50	56	-1	5	80	100	1	1	0	1	32	32	32	32	-1	-1	0	0	1	-1	1	16	4	0	-1	1	0	0	0	3	0	0	1	0	0	0	1	0	-1	1
27	副本	七脉会武场景	6	27	8	2	1	0	0	0	40	40	./Scene/Fb_xiuzhenxianmolu.path		huanyuedongfu	144	144	40	316	20	0	-1	40	56	-1	10	80	100	0	0	1	0	16	23	16	23	-1	-1	0	0	1	-1	1	16	4	0	-1	-1	0	0	0	3	0	0	1	0	0	0	1	0	-1	1
28	副本	兽神之叹	13	28	6	2	1	0	0	0	128	128	./Scene/fb_shoushenzhitan.path		shoushenzhitan	384	384	128	206	39	0	-1	40	56	-1	10	80	100	1	1	1	1	55.65	61.67	55.65	61.67	-1	-1	0	0	1	-1	1	1000	4	1	-1	-1	0	0	0	1	0	0	1	0	0	0	1	0	-1	1
29	河阳相位	河阳城-山海苑	7	29	4	2	1	0	0	0	128	128	./Scene/Zc_Heyangcheng.path		heyangcheng	384	384	128	99	16	0	-1	40	56	-1	16	80	100	1	1	1	1	52	67	79.92	63.41	-1	-1	0	0	1	4122	1	16	4	0	-1	-1	0	0	0	1	0	0	1	1	1	0	1	0	-1	1
30	河阳相位	河阳城-小试牛刀	7	30	6	2	1	0	0	0	128	128	./Scene/Zc_Heyangcheng.path		heyangcheng	384	384	128	41	17	0	-1	40	56	-1	16	80	100	1	1	1	1	52	67	79.92	63.41	-1	-1	0	0	1	4122	1	16	4	0	-1	-1	0	0	0	1	0	0	1	0	0	0	1	0	9	1
31	野外	空桑山	17	31	0	1	1	0	0	0	128	128	./Scene/Yw_Kongsangshan.path		kongsangshan	384	384	128	120	0	0	-1	40	56	-1	8	80	100	1	1	1	1	16.71	116.9	16.71	116.9	-1	-1	1	1	25	-1	1	16	4	0	-1	-1	0	0	0	1	0	0	1	0	0	0	1	0	-1	1
32	空桑山相位	空桑山	17	32	4	2	1	0	0	0	128	128	./Scene/Yw_Kongsangshan.path		kongsangshan	384	384	128	335	18	0	-1	40	56	-1	16	80	100	1	1	1	1	3.43	9.51	3.43	9.51	-1	-1	0	0	1	4122	1	16	4	0	-1	-1	0	0	0	1	0	0	1	0	0	0	1	0	-1	1
33	滴血洞-任务用	滴血洞	16	33	11	1	1	0	0	0	33	33	./Scene/Fb_dixuedong.path		dixuedong	96	96	33	120	0	0	-1	40	56	-1	8	80	100	1	1	1	1	16.38	24.88	16.38	24.88	-1	-1	1	1	25	-1	1	16	4	0	-1	-1	0	0	0	1	0	0	1	0	0	0	1	0	-1	1
34	滴血洞-任务用-相位	滴血洞	16	34	4	2	1	0	0	0	33	33	./Scene/Fb_dixuedong.path		dixuedong	96	96	33	335	19	0	-1	40	56	-1	16	80	100	1	1	1	1	16.38	24.88	16.38	24.88	-1	-1	0	0	1	4122	1	16	4	0	-1	-1	0	0	0	1	0	0	1	0	0	0	1	0	-1	1
35	副本	天帝宝库	32	35	6	2	1	0	0	0	32	32	./Scene/Fb_Tiandibaoku.path		tiandibaoku	96	96	32	41	23	0	-1	40	56	-1	10	80	100	1	1	0	1	11	7.46	11	7.46	-1	-1	0	0	1	-1	1	16	4	0	-1	-1	0	0	0	1	0	0	1	0	0	0	1	0	-1	1
36	【废弃】天音任务-相位	达摩院	14	36	4	2	1	0	0	0	128	128	./Scene/Yw_Tianyinsi.path		tianyinsi	384	384	128	41	0	0	-1	0	0	-1	16	80	100	1	1	1	1	113.37	12.42	86.82	63.18	-1	-1	0	0	1	4122	1	16	4	0	-1	-1	0	0	0	1	0	0	1	0	0	0	1	0	-1	1
37	空桑山-坦白从宽相位	空桑山	17	37	0	2	1	0	0	0	128	128	./Scene/Yw_Kongsangshan.path		kongsangshan	384	384	128	41	22	0	-1	40	56	-1	16	80	100	1	1	1	1	3.43	9.51	3.43	9.51	-1	-1	1	1	1	4122	1	16	4	0	-1	-1	0	0	0	1	0	0	1	0	0	0	1	0	-1	1
38	小池镇-相位	小池镇	4	38	4	2	1	0	0	0	128	128	./Scene/Yw_Xiaochizhen.path		xiaochizhen	384	384	128	3	24	0	-1	40	56	-1	16	80	100	1	1	1	1	49	86	49	86	-1	-1	1	1	1	4122	1	16	4	0	-1	-1	0	0	0	1	0	0	1	0	0	0	1	0	-1	1
39	副本	梦境河阳	21	39	6	2	1	0	0	0	37	74	./Scene/Fb_Menghuiheyang.path		menghuiheyang	222	222	74	30	26	0	-1	5	10	-1	10	80	100	1	1	1	1	13	16	13	16	-1	-1	0	0	1	-1	0	16	4	0	-1	-1	0	0	0	1	0	0	1	0	0	0	1	0	-1	1
40	野外	焚香谷	29	40	0	1	1	0	0	0	128	128	./Scene/Yw_Fenxianggu.path		fenxianggu	384	384	128	238	0	0	-1	40	56	-1	8	80	100	1	1	1	1	11.2	13.19	11.2	13.19	-1	-1	1	1	65	-1	1	16	4	0	-1	-1	0	0	0	1	0	0	1	0	0	0	1	0	-1	1
41	野外	玄火坛一层	24	41	11	1	1	0	0	0	48	48	./Scene/Fb_xuanhuotandiyiceng.path		xuanhuotan1	144	144	48	206	0	0	-1	40	56	-1	8	80	100	1	1	1	1	23.87	3.31	23.87	3.31	-1	-1	1	1	65	-1	1	16	4	0	-1	-1	0	0	0	1	0	0	1	0	0	0	1	0	-1	1
42	野外	大王村	30	42	0	1	1	0	0	0	128	128	./Scene/Yw_Dawangcun.path		dawangcun	384	384	128	254	0	0	-1	40	56	-1	8	80	100	1	1	1	1	75.7	60	75.7	60	-1	-1	1	1	45	-1	1	16	4	0	-1	-1	0	0	0	1	0	0	1	0	0	0	1	0	-1	1
43	野外	死亡沼泽	22	43	2	1	1	0	0	0	128	128	./Scene/Yw_Xifangzhaoze.path		xifangzhaoze	384	384	128	143	0	0	-1	40	56	-1	8	80	100	1	1	1	1	12.29	12.43	12.29	12.43	-1	-1	1	1	55	-1	1	16	4	0	-1	-1	0	0	0	3	0	0	1	0	0	0	1	0	-1	1
44	野外	七里峒	19	44	0	1	1	0	0	0	128	128	./Scene/Yw_Qilitong.path		qilidong	384	384	128	119	0	0	-1	40	56	-1	8	80	100	1	1	1	1	13.62	115.81	13.62	115.81	-1	-1	1	1	75	-1	1	16	4	0	-1	-1	0	0	0	1	0	0	1	0	0	0	1	0	-1	1
45	野外	十万大山	35	45	0	1	1	0	0	0	128	128	./Scene/Yw_Shiwandashan.path		shiwandashan	384	384	128	360	0	0	-1	40	56	-1	8	80	100	1	1	1	1	101.67	24.62	101.67	24.62	-1	-1	1	1	85	-1	1	16	4	0	-1	-1	0	0	0	1	0	0	1	0	0	0	1	0	-1	1
46	焚香谷相位	焚香谷	29	46	4	2	1	0	0	0	128	128	./Scene/Yw_Fenxianggu.path		fenxianggu	384	384	128	41	27	0	-1	40	56	-1	16	80	100	1	1	1	1	11.2	13.19	11.2	13.19	-1	-1	1	1	1	4122	1	16	4	0	-1	-1	0	0	0	1	0	0	1	0	0	0	1	0	-1	1
47	大王村相位	大王村	30	47	4	2	1	0	0	0	128	128	./Scene/Yw_Dawangcun.path		dawangcun	384	384	128	41	30	0	-1	40	56	-1	16	80	100	1	1	1	1	16.38	24.88	16.38	24.88	-1	-1	1	1	1	4122	1	16	4	0	-1	-1	0	0	0	1	0	0	1	0	0	0	1	0	-1	1
48	死泽相位	死亡沼泽	22	48	4	2	1	0	0	0	128	128	./Scene/Yw_Xifangzhaoze.path		xifangzhaoze	384	384	128	143	31	0	-1	40	56	-1	16	80	100	1	1	1	1	12.29	12.43	12.29	12.43	-1	-1	1	1	1	4122	1	16	4	0	-1	-1	0	0	0	1	0	0	1	0	0	0	1	0	-1	1
49	大王村-凶残黑蟾	黑水沟	30	49	4	2	1	0	0	0	128	128	./Scene/Yw_Dawangcun.path		dawangcun	384	384	128	254	32	0	-1	40	56	-1	16	80	100	1	1	1	1	63.49	7.63	63.49	7.63	-1	-1	1	1	1	4122	1	16	4	0	-1	-1	0	0	0	1	0	0	1	0	0	0	1	0	-1	1
50	死泽相位-搜索水洼	外泽	22	50	4	2	1	0	0	0	128	128	./Scene/Yw_Xifangzhaoze.path		xifangzhaoze	384	384	128	143	33	0	-1	40	56	-1	16	80	100	1	1	1	1	12.29	12.43	12.29	12.43	-1	-1	1	1	1	4122	1	16	4	0	-1	-1	0	0	0	1	0	0	1	0	0	0	1	0	-1	1
51	死泽相位-一场混战	死泽虫穴	22	51	4	2	1	0	0	0	128	128	./Scene/Yw_Xifangzhaoze.path		xifangzhaoze	384	384	128	143	34	0	-1	40	56	-1	16	80	100	1	1	1	1	12.29	12.43	12.29	12.43	-1	-1	1	1	1	4122	1	16	4	0	-1	-1	0	0	0	1	0	0	1	0	0	0	1	0	-1	1
52	副本	镇魔古洞	31	52	6	2	1	1	0	0	96	96	./Scene/Fb_Zhenmogudong.path		zhenmogudong	480	480	96	31	43	0	-1	40	56	-1	10	80	100	1	1	1	1	5.34	54.95	3.68	47.47	-1	-1	0	0	1	-1	0	100	4	1	-1	-1	0	0	0	1	0	1	1	0	0	0	1	0	-1	1
53	野外	流波山	23	53	0	1	1	0	0	0	128	128	./Scene/Yw_Liuboshan.path		liuboshan	384	384	128	194	0	0	-1	40	56	-1	8	80	100	1	1	1	1	16.09	67.57	16.09	67.57	-1	-1	1	1	35	-1	1	16	4	0	-1	-1	0	0	0	1	0	0	1	0	0	0	1	0	-1	1
54	流波山相位	流波山	23	54	0	2	1	0	0	0	128	128	./Scene/Yw_Liuboshan.path		liuboshan	384	384	128	41	37	0	-1	40	56	-1	16	80	100	1	1	1	1	16.09	67.57	16.09	67.57	-1	-1	1	1	1	4122	1	16	4	0	-1	-1	0	0	0	1	0	0	1	0	0	0	1	0	-1	1
55	七里峒相位	七里峒	19	55	4	2	1	0	0	0	128	128	./Scene/Yw_Qilitong.path		qilidong	384	384	128	41	38	0	-1	40	56	-1	16	80	100	1	1	1	1	13.62	115.81	13.62	115.81	-1	-1	1	1	1	4122	1	16	4	0	-1	-1	0	0	0	1	0	0	1	0	0	0	1	0	-1	1
56	空中婚礼副本	凤凰楼	33	56	9	4	1	0	0	0	70	70	./Scene/Fb_Jiehun_tian.path		jiehun_sky	210	210	70	289	0	0	-1	46	56	-1	10	80	100	1	1	1	1	34.7	14.21	34.7	14.21	-1	-1	1	0	1	5216	1	16	4	0	-1	-1	0	0	0	1	1	0	1	1	1	1	1	0	-1	0
57	地面婚礼副本	鸳鸯堂	34	57	9	4	1	0	0	0	70	70	./Scene/Fb_Jiehun_di.path		jiehun	210	210	70	288	0	0	-1	46	56	-1	10	80	100	1	1	1	1	32	30	32	30	-1	-1	1	0	1	5216	1	16	4	0	-1	-1	0	0	0	1	1	0	1	1	1	1	1	0	-1	0
58	七里峒相位	扔到水里	19	58	6	2	1	0	0	0	128	128	./Scene/Zc_Heyangcheng.path		qilidong	384	384	128	41	42	0	-1	40	56	-1	16	80	100	1	1	1	1	13.62	115.81	13.62	115.81	-1	-1	0	0	1	4122	1	16	4	0	-1	-1	0	0	0	1	0	0	1	0	0	0	1	0	-1	1
59	帮会普通宵小-炼血堂入侵	炼血堂入侵	10	59	6	2	1	0	0	0	50	50	./Scene/Fb_Banghuishudi.path		banghuishudi	150	150	50	30	35	0	-1	40	56	-1	10	80	100	1	1	1	1	29	33	29	33	-1	-1	1	1	1	-1	1	16	4	1	-1	-1	0	0	0	1	0	0	1	0	0	0	1	0	-1	1
60	帮会大宵小炼血堂逆袭	炼血堂逆袭	10	60	6	2	1	0	0	0	50	50	./Scene/Fb_Banghuishudi.path		banghuishudi	150	150	50	335	36	0	-1	40	56	-1	10	80	100	1	1	1	1	29	33	29	33	-1	-1	1	1	1	-1	1	16	4	1	-1	-1	0	0	0	1	0	0	1	0	0	0	1	0	-1	1
61	家族聚餐副本	家族聚餐	21	61	6	2	1	0	0	0	37	74	./Scene/Fb_Menghuiheyang.path		menghuiheyang	222	222	74	290	44	0	-1	40	56	-1	10	80	100	1	1	1	1	15.28	59	15.28	59	-1	-1	0	0	1	-1	0	16	4	0	-1	-1	0	0	0	1	1	0	1	1	1	0	1	0	-1	1
62	野外	昆仑山	20	62	16	1	1	0	0	0	128	128	./Scene/Yw_Kunlunshan.path		kunlunshan	384	384	128	133	0	0	-1	40	56	-1	8	80	100	1	1	1	1	99	9.3	99	9.3	-1	-1	1	1	115	-1	1	16	4	0	-1	-1	0	0	0	2	0	0	1	0	0	0	1	0	-1	1
63	十万大山-相位	十万大山	35	63	0	2	1	0	0	0	128	128	./Scene/Yw_Shiwandashan.path		shiwandashan	384	384	128	360	46	0	-1	40	56	-1	16	80	100	1	1	1	1	101.67	24.62	101.67	24.62	-1	-1	1	1	90	4122	1	16	4	0	-1	-1	0	0	0	1	0	0	1	0	0	0	1	0	-1	1
64	帮会任务副本	清剿余孽	16	64	3	2	1	0	0	0	33	33	./Scene/Fb_dixuedong.path		dixuedong	96	96	33	94	47	0	-1	40	56	-1	10	80	100	1	1	1	1	16.67	1.67	16.67	1.67	-1	-1	1	1	1	-1	1	16	4	0	-1	-1	0	0	0	1	0	0	1	0	0	0	1	0	-1	1
65	毒蛇谷	毒蛇谷	27	65	2	1	1	0	0	0	128	128	./Scene/Yw_Dushegu.path		dushegu	384	384	128	210	47	0	-1	40	56	-1	8	80	100	1	1	1	1	13.8	112.4	13.8	112.4	-1	-1	1	1	95	-1	1	16	4	0	-1	-1	0	0	0	3	0	0	1	0	0	0	1	0	-1	1
66	流波山相位	流波山	23	66	12	2	1	0	0	0	128	128	./Scene/Yw_Liuboshan.path		liuboshan	384	384	128	41	48	0	-1	40	56	-1	16	80	100	1	1	1	1	16.09	67.57	16.09	67.57	-1	-1	0	0	1	4122	1	16	4	0	-1	-1	0	0	0	1	0	0	1	0	0	0	1	0	-1	1
67	毒蛇谷-相位	毒蛇谷	27	67	0	2	1	0	0	0	128	128	./Scene/Yw_Dushegu.path		dushegu	384	384	128	210	51	0	-1	40	56	-1	16	80	100	1	1	1	1	13.8	112.4	13.8	112.4	-1	-1	1	1	30	-1	1	16	4	0	-1	-1	0	0	0	1	0	0	1	0	0	0	1	0	-1	1
68	蛮荒	蛮荒	36	68	15	1	1	0	0	0	128	128	./Scene/Yw_Manhuang.path		manhuang	384	384	128	210	0	0	-1	40	56	-1	8	80	100	1	1	1	1	120.4	9.9	120.4	9.9	-1	-1	1	1	105	-1	1	16	4	0	-1	-1	0	0	0	2	0	0	1	0	0	0	1	0	-1	1
