Id	Description	Name	Title	NpcType	Level	AttackDisType	SkillstrategyIndex	CombatAttrIndex	AttackIntervalTime	ForceId	PathRadius	IsReturnBorn	AlertRadius	IsRanbdMove	RandMoveDis	CorpseTime	ReviveTime	ReviveRate	ReviveTimeBegin_01	ReviveTimeEnd_01	ReviveTimeBegin_02	ReviveTimeEnd_02	DialogID	DialogRadius	DropItemNormalId	FirstDropItemNormalId	DropItemCopyId	IsAttackFly	BelongType	IsImmuneJT	CombatNPC	MissionNpcFlag	Exp	ExpFactor	EnhanceID1	EnhanceID2	EnhanceID3	EnhanceID4	EnhanceID5	EnhanceID6	SilverCoinMin	SilverCoinMax	SilverCoinFactor	GoldCoinRate	GoldCoinDrop	GoldCoinFactor	NpcPaoPaoId	IsCanBeClientSel	IsNoALevelReduc	IsNoPernoctation	IsDisableFaceto	IsCanCatch	CatchFellowId	HuntCollectId	IsCleanLeaveCombat	BornAnimId	BornAnimTime	ScriptID	FinalAttackDrop	ImpactId_01	ImpactId_02	IsDiscareServerLevel	IsLogDropInfo	IsCanRecycle	LifeTime	IsForceUseAdaptAttr	IsUseNavAgent	LeaveCombatImpactId_01	LeaveCombatImpactId_02	IsMissionNPC	HeadInfoHideType	IsHeadBodyLeave
11	首登场景-反派打的boss	毒神		2	1	1	3	4	1700	3	1000	1	1000	0	0	6000	2000	1	-1	-1	-1	-1	-1	2	-1	-1	-1	1	3	0	1	0	0	0	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	-1	1	0	0	0	0	-1	-1	0	-1	0	-1	-1	-1	-1	0	0	1	-1	0	1	-1	-1	-1	0	0
12	首登场景-正派打的boss	田不易		2	1	1	27	4	1200	3	1000	1	1000	0	0	6000	2000	1	-1	-1	-1	-1	-1	2	-1	-1	-1	1	3	0	1	0	0	0	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	-1	1	0	0	0	0	-1	-1	0	-1	0	-1	-1	-1	-1	0	0	1	-1	0	1	-1	-1	-1	0	0
13	首登场景-小池镇	狐狸		0	1	0	1	1	1200	3	20	1	5	1	2	3000	2000	1	-1	-1	-1	-1	-1	2	-1	-1	-1	1	3	0	1	0	0	0	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	-1	1	0	0	0	0	-1	-1	0	-1	0	-1	-1	-1	-1	0	0	1	-1	0	1	-1	-1	-1	0	0
14	首登场景（任务）	文敏		0	99	0	-1	8	1200	1	0	1	0	0	0	3000	2000	1	-1	-1	-1	-1	-1	2	-1	-1	-1	1	3	0	0	0	0	0	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	-1	1	0	0	1	0	-1	-1	0	-1	0	-1	-1	-1	-1	0	0	1	-1	0	1	-1	-1	-1	0	0
15	首登场景-小池镇	周一仙		0	99	0	-1	5	1200	1	0	1	0	0	0	3000	2000	1	-1	-1	-1	-1	5	2	-1	-1	-1	1	3	0	0	0	0	0	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	-1	1	0	0	0	0	-1	-1	0	-1	0	-1	-1	-1	-1	0	0	1	-1	0	1	-1	-1	-1	0	0
16	首登场景-小池镇	小环		0	99	0	-1	5	1200	1	0	1	0	0	0	3000	2000	1	-1	-1	-1	-1	6	2	-1	-1	-1	1	3	0	0	0	0	0	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	-1	1	0	0	0	0	-1	-1	0	-1	0	-1	-1	-1	-1	0	0	1	-1	0	1	-1	-1	-1	0	0
17	首登场景（躺男）			0	99	0	-1	7	1200	1	0	1	0	0	0	3000	2000	1	-1	-1	-1	-1	-1	2	-1	-1	-1	1	3	0	0	0	0	0	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	-1	0	0	0	0	0	-1	-1	0	-1	0	-1	-1	-1	-1	0	0	1	-1	0	1	-1	-1	-1	0	0
18	首登场景（躺女）			0	99	0	-1	8	1200	1	0	1	0	0	0	3000	2000	1	-1	-1	-1	-1	-1	2	-1	-1	-1	1	3	0	0	0	0	0	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	-1	0	0	0	0	0	-1	-1	0	-1	0	-1	-1	-1	-1	0	0	1	-1	0	1	-1	-1	-1	0	0
19	首登场景（互相搀扶女）			0	99	0	-1	8	1200	1	0	1	0	0	0	3000	2000	1	-1	-1	-1	-1	-1	2	-1	-1	-1	1	3	0	0	0	0	0	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	-1	0	0	0	0	0	-1	-1	0	-1	0	-1	-1	-1	-1	0	0	1	-1	0	1	-1	-1	-1	0	0
20	首登场景(助战青云男)			1	1	0	1	7	2000	8	20	1	5	0	0	3000	2000	1	-1	-1	-1	-1	-1	2	-1	-1	-1	1	3	0	1	0	0	0	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	-1	0	0	0	0	0	-1	-1	0	-1	0	-1	-1	-1	-1	0	0	1	-1	0	1	-1	-1	-1	0	0
21	首登场景(助战青云女)			1	1	0	1	8	2000	8	20	1	5	0	0	3000	2000	1	-1	-1	-1	-1	-1	2	-1	-1	-1	1	3	0	1	0	0	0	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	-1	0	0	0	0	0	-1	-1	0	-1	0	-1	-1	-1	-1	0	0	1	-1	0	1	-1	-1	-1	0	0
22	首登场景(助战魔教男)			1	1	0	1	7	2000	8	20	1	5	0	0	3000	2000	1	-1	-1	-1	-1	-1	2	-1	-1	-1	1	3	0	1	0	0	0	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	-1	0	0	0	0	0	-1	-1	0	-1	0	-1	-1	-1	-1	0	0	1	-1	0	1	-1	-1	-1	0	0
23	首登场景(助战魔教女)			1	1	0	1	8	2000	8	20	1	5	0	0	3000	2000	1	-1	-1	-1	-1	-1	2	-1	-1	-1	1	3	0	1	0	0	0	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	-1	0	0	0	0	0	-1	-1	0	-1	0	-1	-1	-1	-1	0	0	1	-1	0	1	-1	-1	-1	0	0
24	首登场景	九幽冥蛇		2	1	1	5	9	1200	9	20	1	5	0	0	3000	2000	1	-1	-1	-1	-1	-1	2	-1	-1	-1	1	3	0	1	0	0	0	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	-1	1	0	0	0	0	-1	-1	0	-1	0	-1	-1	-1	-1	0	0	1	-1	0	1	-1	-1	-1	0	0
29	首登场景(坐男)			0	99	0	-1	7	1200	1	0	1	0	0	0	3000	2000	1	-1	-1	-1	-1	-1	2	-1	-1	-1	1	3	0	0	0	0	0	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	-1	0	0	0	0	0	-1	-1	0	-1	0	-1	-1	-1	-1	0	0	1	-1	0	1	-1	-1	-1	0	0
30	首登场景(坐女)			0	99	0	-1	8	1200	1	0	1	0	0	0	3000	2000	1	-1	-1	-1	-1	-1	2	-1	-1	-1	1	3	0	0	0	0	0	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	-1	0	0	0	0	0	-1	-1	0	-1	0	-1	-1	-1	-1	0	0	1	-1	0	1	-1	-1	-1	0	0
31	首登场景(反战青云男)			1	1	0	1	7	2000	9	20	1	3	0	0	3000	2000	1	-1	-1	-1	-1	-1	2	-1	-1	-1	1	3	0	1	0	0	0	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	-1	0	0	0	0	0	-1	-1	0	-1	0	-1	-1	-1	-1	0	0	1	-1	0	1	-1	-1	-1	0	0
32	首登场景(反战青云女)			1	1	0	1	8	2000	9	20	1	3	0	0	3000	2000	1	-1	-1	-1	-1	-1	2	-1	-1	-1	1	3	0	1	0	0	0	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	-1	0	0	0	0	0	-1	-1	0	-1	0	-1	-1	-1	-1	0	0	1	-1	0	1	-1	-1	-1	0	0
33	首登场景(中立男)			1	1	0	1	7	2000	9	20	1	3	0	0	3000	2000	1	-1	-1	-1	-1	-1	2	-1	-1	-1	1	3	0	1	0	0	0	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	-1	0	0	0	0	0	-1	-1	0	-1	0	-1	-1	-1	-1	0	0	1	-1	0	1	-1	-1	-1	0	0
34	首登场景(中立女)			1	1	0	1	8	2000	9	20	1	3	0	0	3000	2000	1	-1	-1	-1	-1	-1	2	-1	-1	-1	1	3	0	1	0	0	0	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	-1	0	0	0	0	0	-1	-1	0	-1	0	-1	-1	-1	-1	0	0	1	-1	0	1	-1	-1	-1	0	0
35	首登场景	道玄		0	99	0	-1	5	1200	1	0	1	0	0	0	3000	2000	1	-1	-1	-1	-1	1	2	-1	-1	-1	1	3	0	0	0	0	0	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	-1	1	0	0	0	0	-1	-1	0	-1	0	-1	-1	-1	-1	0	0	1	-1	0	1	-1	-1	-1	0	0
36	首登场景（演员）	张小凡		0	99	0	-1	5	1200	1	0	1	0	0	0	3000	2000	1	-1	-1	-1	-1	1	2	-1	-1	-1	1	3	0	0	0	0	0	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	-1	0	0	0	0	0	-1	-1	0	-1	0	-1	-1	-1	-1	0	0	1	-1	0	1	-1	-1	-1	0	0
37	录视频	九幽冥蛇		2	1	1	5	9	1200	3	20	1	5	0	0	3000	2000	1	-1	-1	-1	-1	-1	2	-1	-1	-1	1	3	0	1	0	0	0	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	-1	1	0	0	0	0	-1	-1	0	-1	0	-1	-1	-1	-1	0	0	1	-1	0	1	-1	-1	-1	0	0
38	小池镇	鬼厉		0	99	0	-1	5	1200	1	0	1	0	0	0	3000	2000	1	-1	-1	-1	-1	1	2	-1	-1	-1	1	3	0	0	0	0	0	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	-1	0	0	0	0	0	-1	-1	0	-1	0	-1	-1	-1	-1	0	0	1	-1	0	1	-1	-1	-1	0	0
40	河阳城-如花	如花		0	99	0	-1	5	1200	1	0	1	0	0	0	3000	2000	1	-1	-1	-1	-1	7	2	-1	-1	-1	1	3	0	0	0	0	0	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	-1	1	0	0	0	0	-1	-1	0	-1	0	-1	-1	-1	-1	0	0	1	-1	0	1	-1	-1	-1	0	0
41	河阳城-青云弟子	青云弟子		0	99	0	-1	5	1200	1	0	1	0	0	0	3000	2000	1	-1	-1	-1	-1	8	2	-1	-1	-1	1	3	0	0	0	0	0	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	-1	1	0	0	0	0	-1	-1	0	-1	0	-1	-1	-1	-1	0	0	1	-1	0	1	-1	-1	-1	0	0
42	河阳城-神秘人	神秘人		0	99	0	-1	5	1200	1	0	1	0	0	0	3000	2000	1	-1	-1	-1	-1	9	2	-1	-1	-1	1	3	0	0	0	0	0	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	-1	1	0	0	0	0	-1	-1	0	-1	0	-1	-1	-1	-1	0	0	1	-1	0	1	-1	-1	-1	0	0
43	河阳城-何叔	何叔		0	99	0	-1	5	1200	1	0	1	0	0	0	3000	2000	1	-1	-1	-1	-1	10	2	-1	-1	-1	1	3	0	0	0	0	0	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	-1	1	0	0	0	0	-1	-1	0	-1	0	-1	-1	-1	-1	0	0	1	-1	0	1	-1	-1	-1	0	0
44	河阳城-小二	小二		0	99	0	-1	5	1200	1	0	1	0	0	0	3000	2000	1	-1	-1	-1	-1	11	2	-1	-1	-1	1	3	0	0	0	0	0	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	-1	1	0	0	0	0	-1	-1	0	-1	0	-1	-1	-1	-1	0	0	1	-1	0	1	-1	-1	-1	0	0
45	河阳城-王二叔	王二叔		0	99	0	-1	5	1200	1	0	1	0	0	0	3000	2000	1	-1	-1	-1	-1	12	2	-1	-1	-1	1	3	0	0	0	0	0	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	-1	1	0	0	0	0	-1	-1	0	-1	0	-1	-1	-1	-1	0	0	1	-1	0	1	-1	-1	-1	0	0
46	河阳城-肥龙	肥龙		0	99	0	-1	5	1200	1	0	1	0	0	0	3000	2000	1	-1	-1	-1	-1	13	2	-1	-1	-1	1	3	0	0	0	0	0	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	-1	1	0	0	0	0	-1	-1	0	-1	0	-1	-1	-1	-1	0	0	1	-1	0	1	-1	-1	-1	0	0
47	河阳城-冷相师	寂寞的包子		0	99	0	-1	5	1200	1	0	1	0	0	0	3000	2000	1	-1	-1	-1	-1	14	5	-1	-1	-1	1	3	0	0	0	0	0	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	-1	1	0	0	0	0	-1	-1	0	-1	0	-1	-1	-1	-1	0	0	1	-1	0	1	-1	-1	-1	0	0
48	河阳城-常箭	常箭	<青云接引使>	0	99	0	-1	5	1200	1	0	1	0	0	0	3000	2000	1	-1	-1	-1	-1	15	2	-1	-1	-1	1	3	0	0	0	0	0	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	-1	1	0	0	0	0	-1	-1	0	-1	0	1034	-1	-1	-1	0	0	1	-1	0	1	-1	-1	-1	0	0
49	河阳城-法善	法善	<天音接引使>	0	99	0	-1	5	1200	1	0	1	0	0	0	3000	2000	1	-1	-1	-1	-1	16	2	-1	-1	-1	1	3	0	0	0	0	0	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	-1	1	0	0	0	0	-1	-1	0	-1	0	1034	-1	-1	-1	0	0	1	-1	0	1	-1	-1	-1	0	0
50	河阳城-燕回	燕回	<鬼王接引使>	0	99	0	-1	5	1200	1	0	1	0	0	0	3000	2000	1	-1	-1	-1	-1	17	2	-1	-1	-1	1	3	0	0	0	0	0	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	-1	1	0	0	0	0	-1	-1	0	-1	0	1034	-1	-1	-1	0	0	1	-1	0	1	-1	-1	-1	0	0
51	河阳城-赵绯燕	赵绯燕	<合欢接引使>	0	99	0	-1	5	1200	1	0	1	0	0	0	3000	2000	1	-1	-1	-1	-1	18	2	-1	-1	-1	1	3	0	0	0	0	0	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	-1	1	0	0	0	0	-1	-1	0	-1	0	1034	-1	-1	-1	0	0	1	-1	0	1	-1	-1	-1	0	0
52	河阳城-武器师	毕纬天	<炼器师>	0	99	0	-1	5	1200	1	0	1	0	0	0	3000	2000	1	-1	-1	-1	-1	19	2	-1	-1	-1	1	3	0	0	0	0	0	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	-1	1	0	0	0	0	-1	-1	0	-1	0	-1	-1	-1	-1	0	0	1	-1	0	1	-1	-1	-1	0	0
53	河阳城-城主	万云天	<河阳城城主>	0	99	0	-1	5	1200	1	0	1	0	0	0	3000	2000	1	-1	-1	-1	-1	20	2	-1	-1	-1	1	3	0	0	0	0	0	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	-1	1	0	0	0	0	-1	-1	0	-1	0	-1	-1	-1	-1	0	0	1	-1	0	1	-1	-1	-1	0	0
54	河阳城-怨灵【野怪】	怨灵		0	7	0	1	3007	2000	2	20	1	3	1	2	3000	2000	1	-1	-1	-1	-1	-1	2	11000	-1	-1	1	3	0	1	1	11	0	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	-1	1	0	0	0	0	-1	-1	1	-1	0	-1	-1	-1	-1	0	0	1	-1	0	1	-1	-1	-1	1	0
55	河阳城-逃兵【野怪】	逃兵		0	6	0	1	3006	2000	2	20	1	3	1	2	3000	2000	1	-1	-1	-1	-1	-1	2	11000	-1	-1	1	3	0	1	1	10	0	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	-1	1	0	0	0	0	-1	-1	1	-1	0	-1	-1	-1	-1	0	0	1	-1	0	1	-1	-1	-1	1	0
56	河阳城-土匪【野怪】	土匪		0	10	0	1	3010	2000	2	20	1	3	1	2	3000	2000	1	-1	-1	-1	-1	-1	2	11020	-1	-1	1	3	0	1	1	16	0	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	-1	1	0	0	0	0	-1	-1	1	-1	0	-1	-1	-1	-1	0	0	1	-1	0	1	-1	-1	-1	1	0
57	河阳城-发狂野猪【野怪】	发狂野猪		0	8	0	26	3008	2000	2	20	1	3	1	2	3000	2000	1	-1	-1	-1	-1	-1	2	11000	-1	-1	1	3	0	1	1	13	0	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	-1	1	0	0	0	0	-1	-1	1	-1	0	-1	-1	-1	-1	0	0	1	-1	0	1	-1	-1	-1	1	0
58	河阳城-贺三爷	贺三爷		0	99	0	-1	5	1200	1	0	1	0	0	0	3000	2000	1	-1	-1	-1	-1	21	2	-1	-1	-1	1	3	0	0	0	0	0	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	-1	1	0	0	0	0	-1	-1	0	-1	0	-1	-1	-1	-1	0	0	1	-1	0	1	-1	-1	-1	0	0
59	通用-黑衣人	？？？		0	99	0	-1	5	1200	1	0	1	0	0	0	3000	2000	1	-1	-1	-1	-1	-1	2	-1	-1	-1	1	3	0	0	0	0	0	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	-1	1	0	0	0	0	-1	-1	0	-1	0	-1	-1	-1	-1	0	0	1	-1	0	1	-1	-1	-1	0	0
60	河阳城-家丁(剧情)	家丁		0	2	0	-1	5	1200	1	0	1	0	0	0	3000	2000	1	-1	-1	-1	-1	20	2	-1	-1	-1	1	3	0	0	0	0	0	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	-1	1	0	0	0	0	-1	-1	0	-1	0	-1	-1	-1	-1	0	0	1	-1	0	1	-1	-1	-1	0	0
61	河阳城-家丁[相位怪]	家丁		0	1	0	1	3001	2000	3	100	1	12	0	0	3000	2000	1	-1	-1	-1	-1	-1	2	-1	-1	-1	1	3	0	1	0	0	0	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	-1	1	0	0	0	0	-1	-1	0	-1	0	-1	-1	-1	-1	0	0	1	-1	0	1	-1	-1	-1	0	0
62	河阳城-肥龙[相位怪]	肥龙		2	2	0	1	3002	2000	3	100	1	12	0	0	0	2000	1	-1	-1	-1	-1	-1	2	-1	-1	-1	1	3	0	1	0	0	0	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	-1	1	0	0	0	0	-1	-1	0	94	2000	-1	-1	-1	-1	0	0	1	-1	0	1	-1	-1	-1	0	0
63	河阳城-中年人鬼魂[相位怪]	中年人鬼魂		0	8	0	1	3008	2000	3	100	1	12	0	0	3000	2000	1	-1	-1	-1	-1	-1	2	-1	-1	-1	1	3	0	1	0	0	0	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	-1	1	0	0	0	0	-1	-1	0	-1	0	-1	-1	-1	-1	0	0	1	-1	0	1	-1	-1	-1	0	0
64	河阳城-村妇鬼魂[相位怪]	少妇鬼魂		0	8	0	1	3008	2000	3	100	1	12	0	0	3000	2000	1	-1	-1	-1	-1	-1	2	-1	-1	-1	1	3	0	1	0	0	0	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	-1	1	0	0	0	0	-1	-1	0	-1	0	-1	-1	-1	-1	0	0	1	-1	0	1	-1	-1	-1	0	0
65	河阳城-老太太鬼魂[相位怪]	老太太鬼魂		0	8	0	1	3008	2000	3	100	1	12	0	0	3000	2000	1	-1	-1	-1	-1	-1	2	-1	-1	-1	1	3	0	1	0	0	0	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	-1	1	0	0	0	0	-1	-1	0	-1	0	-1	-1	-1	-1	0	0	1	-1	0	1	-1	-1	-1	0	0
